line,title,author,cited_num,relate,reverse_relate
Incorporating weather sensitivity in inventory-based estimates of boreal forest productivity: a meta-analysis of process model results.,Incorporating weather sensitivity in inventory-based estimates of boreal forest productivity: A meta-analysis of process model results,Z Wang PY Bernier B Chen,8,87.50%,87.50%
Evidence of autumn phenology control on annual net ecosystem productivity in two temperate deciduous forests,Evidence of autumn phenology control on annual net ecosystem productivity in two temperate deciduous forests,C Wu CM Gough JM Chen A Gonsamo,14,100.00%,100.00%
"Improved LAI algorithm implementation to MODIS data by incorporating background, topography and foliage clumping information","Improved LAI algorithm implementation to MODIS data by incorporating background, topography, and foliage clumping information",A Gonsamo JM Chen,20,93.33%,93.33%
Characterization and intercomparison of global moderate resolution leaf area index (LAI) products: Analysis of climatologies and theoretical uncertainties.,Characterization and intercomparison of global moderate resolution leaf area index (LAI) products: Analysis of climatologies and theoretical uncertainties,W Li F Baret,66,94.44%,94.44%
"Modelling leaf chlorophyll content in broadleaf and needle leaf canopies from ground, CASI, Landsat and MERIS reflectance data.","Modelling leaf chlorophyll content in broadleaf and needle leaf canopies from ground, CASI, Landsat TM 5 and MERIS reflectance data",H Croft JM Chen Y Zhang,39,94.44%,85.00%
Interannual variability of net ecosystem productivity in forests is explained by carbon flux phenology in autumn.,Interannual variability of net ecosystem productivity in forests is explained by carbon flux phenology in autumn,C Wu,45,93.75%,93.75%
Drought Influences the Accuracy of Simulated Ecosystem Fluxes: A Model-Data Meta-analysis for Mediterranean Oak Woodlands,Drought influences the accuracy of simulated ecosystem fluxes: a model-data meta-analysis for Mediterranean oak woodlands,R Vargas G Abramowitz A Carrara,28,33.33%,33.33%
Deriving land surface phenology indicators from CO2 eddy covariance measurements,Deriving land surface phenology indicators from CO 2 eddy covariance measurements,A Gonsamo JM Chen P D'Odorico,16,90.00%,81.82%
Biotic driving forces for China's forest biomass carbon sink based on seven inventories from 1973 to 2008.,Combining LPJ-GUESS and HASM to simulate the spatial distribution of forest vegetation carbon stock in China,,8,17.65%,18.75%
Iconic CO2 time series at risk.,Iconic CO2 time series at risk,,8,83.33%,83.33%
Land surface phenology index from optical satellite measurements and CO2 eddy flux observations,Land surface phenology from optical satellite measurement and CO2 eddy covariance technique,A Gonsamo JM Chen,41,69.23%,75.00%
Diverse responses of vegetation production to interannual summer drought in North America.,Diverse responses of vegetation production to interannual summer drought in North America,C Wu JM Chen,13,91.67%,91.67%
Positive impacts of precipitation intensity on monthly CO2 fluxes in North America.,Positive impacts of precipitation intensity on monthly CO 2 fluxes in North America,C Wu JM Chen AR Desai,6,83.33%,76.92%
Evaluation and improvement of MODIS gross primary productivity in typical forest ecosystems of East Asia based on eddy covariance measurements.,Evaluation and improvement of MODIS gross primary productivity in typical forest ecosystems of East Asia based on eddy covariance measurements,W Ju L Zhang,10,95.00%,95.00%
Retrospective retrieval of long-term consistent global leaf area index (1981-2010) maps from combined AVHRR and MODIS data,Retrospective retrieval of long‐term consistent global leaf area index (1981–2011) from combined AVHRR and MODIS data,JM Chen,63,82.35%,87.50%
"Interannual and spatial impacts of phonological transitions, growing season length and spring and autumn emperatures on carbon sequestration: A North America flux data synthesis","Interannual and spatial impacts of phenological transitions, growing season length, and spring and autumn temperatures on carbon sequestration: A North America …",C Wu A Gonsamo JM Chen,34,70.83%,80.95%
Deriving a new phenological indicator of interannual net carbon exchange in contrasting boreal deciduous and evergreen forests.,Deriving a new phenological indicator of interannual net carbon exchange in contrasting boreal deciduous and evergreen forests,C Wu JM Chen,8,94.12%,94.12%
A model-data comparison of grass primary productivity: results from the North American Carbon Program site synthesis.,A model‐data comparison of gross primary productivity: Results from the North American Carbon Program site synthesis,CR Schwalm C Williams,166,75.00%,75.00%
Predicting  deciduous forest carbon uptake phenology by upscaling FLUXNET measurements using remote sensing data.,Predicting deciduous forest carbon uptake phenology by upscaling FLUXNET measurements using remote sensing data,A Gonsamo JM Chen C Wu,27,86.67%,92.86%
Interannual variability of carbon sequestration is determined by the lag between ends of net uptake and growing season: evidence from long records of two contrasting mature forests.,[CITATION][C] Interannual variability of carbon sequestration is determined by the lag between ends of net uptake and photosynthesis: Evidence from long records of two …,C Wu JM Chen A Gonsamo,13,74.07%,83.33%
Evaluating spatial and temporal patterns of MODIS GPP over the conterminous U.S. against flux measurements and a process model.,Evaluating spatial and temporal patterns of MODIS GPP over the conterminous US against flux measurements and a process model,F Zhang JM Chen J Chen CM Gough,61,89.47%,89.47%
Relationships between net primary productivity and stand age derived using Forest Inventory and Analysis data and remote sensing imagery.,Relationships between net primary productivity and stand age for several forest types and their influence on China's carbon balance,W Ju,68,47.37%,52.63%
Spectral response cross-calibration among 21 satellite sensors for global vegetation monitoring.,Impacts of spectral band difference effects on radiometric cross-calibration between satellite sensors in the solar-reflective spectral domain,,101,27.27%,17.65%
Attributing carbon changes in conterminous US forests to disturbance and non-disturbance factors from 1901 to 2010.,Attributing carbon changes in conterminous US forests to disturbance and non‐disturbance factors from 1901 to 2010,F Zhang JM Chen,48,87.50%,87.50%
An underestimated role of precipitation frequency in regulating summer soil moisture,An underestimated role of precipitation frequency in regulating summer soil moisture,C Wu JM Chen J Pumpanen A Cescatti,16,100.00%,100.00%
Spatial and temporal variations of forest LAI in China during 2000-2010,Spatial and temporal variations of forest LAI in China during 2000–2010,YB Liu WM Ju JM Chen,33,90.91%,90.91%
North American Carbon Project (NACP) regional interim synthesis: terrestrial biospheric model intercomparison,North American Carbon Program (NACP) regional interim synthesis: Terrestrial biospheric model intercomparison,DN Huntzinger WM Post Y Wei AM Michalak,137,83.33%,83.33%
How Stand Age Influences the Magnitude and Seasonality of Carbon Fluxes in Canadian Forests.,Influence of stand age on the magnitude and seasonality of carbon fluxes in Canadian forests,C Coursolle HA Margolis MA Giasson,46,42.86%,33.33%
Expanding MISR LAI products to high temporal resolution with MODIS observations,Expanding MISR LAI products to high temporal resolution with MODIS observations,JM Chen W Ju,4,100.00%,100.00%
Evaluation of leaf-to-canopy upscaling methodologies against carbon flux data in North America.,Evaluation of leaf‐to‐canopy upscaling methodologies against carbon flux data in North America,JM Chen A Desai,43,83.33%,83.33%
Estimation of repeat-pass ALOS PALSAR   interferometric baseline through direct least square ellipse fitting.,Estimation of the repeat-pass ALOS PALSAR interferometric baseline through direct least-square ellipse fitting,JM Chen,8,66.67%,76.92%
Remote sensing of canopy light use efficiency in temperate and boreal forests of North America using MODIS imagery.,Remote sensing of canopy light use efficiency in temperate and boreal forests of North America using MODIS imagery,C Wu JM Chen AR Desai DY Hollinger,44,94.44%,94.44%
Global clumping index map derived from the MODIS BRDF product.,Global clumping index map derived from the MODIS BRDF product,L He JM Chen J Pisek CB Schaaf,77,90.00%,90.00%
Effects of foliage clumping on global terrestrial gross primary productivity,Effects of foliage clumping on the estimation of global terrestrial gross primary productivity,JM Chen J Pisek J Liu,110,110.00%,76.92%
Land surface models need better representation of vegetation phenology: results from the North American Carbon Program Site Synthesis.,Terrestrial biosphere models need better representation of vegetation phenology: results from the North American Carbon Program Site Synthesis,AD Richardson,278,83.33%,83.33%
A change detection measure based on a likelihood ratio and statistical properties of SAR intensity images.,A change detection measure based on a likelihood ratio and statistical properties of SAR intensity images,JM Chen,22,93.75%,93.75%
. Foliage clumping index over China�s landmass retrieved from the MODIS BRDF products.,Foliage clumping index over China's landmass retrieved from the MODIS BRDF parameters product,W Ju P Gong,21,76.92%,76.92%
The use of precipitation intensity for estimating gross primary production in two northern grasslands.,The use of precipitation intensity in estimating gross primary production in four northern grasslands,C Wu JM Chen,13,85.71%,78.57%
Retrieval of forest chlorophyll content using canipy structure parameters derived from multi-angle data: The measurement concept of combining nadir hyperspectral and off-nadir multispectral data.,Retrieval of forest chlorophyll content using canopy structure parameters derived from multi-angle data: the measurement concept of combining nadir hyperspectral …,JM Chen TL Noland,11,70.83%,85.00%
Combining land surface temperature and shortwave infrared reflectance for early detection of mountain pine beetle infestations in western Canada.,Combining land surface temperature and shortwave infrared reflectance for early detection of mountain pine beetle infestations in western Canada,,5,94.74%,94.74%
Characterizing the performance of ecosystem models across time scales: A spectral analysis of the North American Carbon Program site-level synthesis.,Characterizing the performance of ecosystem models across time scales: A spectral analysis of the North American Carbon Program site‐level synthesis,MC Dietze R Vargas AD Richardson,56,90.00%,90.00%
Evaluation of GLC2000 and NALC2005 land cover products for LAI retrieval over Canada.,Evaluation of the GLC2000 and NALC2005 land cover products for LAI retrieval over Canada,A Gonsamo JM Chen,14,92.31%,85.71%
Predicting gross primary production from the enhanced vegetation index and photosynthetically active radiation: Evaluation and calibration,Predicting gross primary production from the enhanced vegetation index and photosynthetically active radiation: Evaluation and calibration,C Wu JM Chen,69,100.00%,100.00%
"Simulating the impacts of disturbances on forest carbon cycling in North America: Processes, data, models, and challenges,","Simulating the impacts of disturbances on forest carbon cycling in North America: Processes, data, models, and challenges",B Bond‐Lamberty JA Hicke,92,94.12%,94.12%
Recent global CO2 flux inferred from atmospheric CO2 observations and its regional analysis,Recent global CO 2 flux inferred from atmospheric CO 2 observations and its regional analyses,JM Chen,35,76.92%,66.67%
Validation of MODIS BRDF model parameters product and the Ross-Li model with POLDER data.,[CITATION][C] Validation of MODIS BRDF model parameters product and the Ross-Li model with POLDER data,W Ju J Chen Y Liu J Zhu,1,92.86%,86.67%
Retrieval of leaf area index for different grasslands in Inner Mongolia prairie using remote sensing data,[CITATION][C] Retrieval of leaf area index for different grasslands in Inner Mongolia prairie using remote sensing data,Y Liu W Ju J Chen,12,100.00%,94.12%
Difference in leaf area index retrieved from HJ-1 CCD and TM data of Maoershan Mountain.,Spatio-temporal prediction of leaf area index of rubber plantation using HJ-1A/1B CCD images and recurrent neural network,B Chen Z Wu J Dong J Chen,15,46.67%,35.29%
Relationships between net primary productivity and stand age for several forest types and their influence on China's carbon balance.,Relationships between net primary productivity and stand age for several forest types and their influence on China's carbon balance,W Ju,68,94.74%,94.74%
Spatially distributed modeling of the long-term carbon balance of a boreal landscape.,Spatially distributed modeling of the long-term carbon balance of a boreal landscape,A Govind JM Chen P Bernier H Margolis,14,91.67%,91.67%
Normalized Algorithm for Mapping and Dating Forest Disturbances and Regrowth for the United States.,Normalized algorithm for mapping and dating forest disturbances and regrowth for the United States,L He JM Chen,23,50.00%,50.00%
A model-data intercomparison of CO2 exchange across North America: results from the North America Carbon Program Site Synthesis,A model‐data intercomparison of CO2 exchange across North America: Results from the North American Carbon Program site synthesis,CR Schwalm CA Williams,202,72.22%,72.22%
Field characterization of olive (Olea europaea L.) tree crown architecture using terrestrial laser scanning data,Field characterization of olive (Olea europaea L.) tree crown architecture using terrestrial laser scanning data,JR Miller JAJ Berni P Zarco-Tejada,85,100.00%,100.00%
Inverse modeling of CO2 sources and sinks using satellite observations of CO2 from TES and surface flask measurements.,Inverse modeling of CO 2 sources and sinks using satellite observations of CO 2 from TES and surface flask measurements,,61,83.33%,75.00%
Data-Model Fusion for Improving LAI Mapping: a Case Study over China's Landmass.,Data-model fusion for improving LAI mapping: a case study over China's land mass,JM Chen,0,41.67%,38.46%
. Estimation of vegetation clumping index using MODIS BRDF products,Estimation of vegetation clumping index using MODIS BRDF data,J Pisek JM Chen,24,80.00%,88.89%
Age Structure and Disturbance Legacy of North American Forests.,Age structure and disturbance legacy of North American forests,JM Chen,152,55.56%,55.56%
Modeling global atmospheric CO2 with improved emission inventories and CO2 production from the oxidation of other carbon species,Modeling global atmospheric CO2 with improved emission inventories and CO2 production from the oxidation of other carbon species,,45,100.00%,100.00%
Simulations of Evapotranspiration in Southeast Asia using BEPS,How recent climate change influences water use efficiency in East Asia,F Zhang W Ju,18,25.00%,18.18%
Leaf area index retrieval for forests in the Maoershan Mountain in northeast China.,Spatial and temporal variations of forest LAI in China during 2000–2010,YB Liu WM Ju JM Chen,33,7.69%,18.18%
Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas-fir forest in the first post fertilization year,Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year,NC Coops,16,80.95%,94.74%
Effect of Lateral Hydrological Processes on Photosynthesis and Evapotranspiration,Effects of lateral hydrological processes on photosynthesis and evapotranspiration in a boreal ecosystem,A Govind JM Chen J McDonnell,15,33.33%,23.08%
Impact of including forest understory and foliage clumping information from multi-angular measurements in Leaf Area Index mapping over North America.,… of including forest understory brightness and foliage clumping information from multiangular measurements on leaf area index mapping over North America,J Pisek K Alikas,21,60.00%,60.00%
Maintaining the Role of Canada's Forests and Peatlands in Climate Regulation.,Maintaining the role of Canada's forests and peatlands in climate regulation,,36,54.55%,54.55%
Spatially explicit modelling of coupled water and carbon cycles in Canada's forests and wetlands.,"[CITATION][C] Spatially explicit modelling of coupled water and carbon cycles in Canada's forests and wetlands as affected by disturbance, climate, and atmospheric …",W Ju,5,100.00%,59.09%
Climate control of terrestrial carbon exchange across biomes and continents.,Climate control of terrestrial carbon exchange across biomes and continents,C Yi D Ricciuto R Li X Xu,104,90.00%,90.00%
A greener future for China's cities.,A greener future for China's cities,JM Chen,10,83.33%,83.33%
Comparison and evaluation of MERIS FR LAI products over mixed land use regions,[CITATION][C] Comparison and evaluation of MERIS FR LAI products over mixed land use regions,,2,100.00%,92.86%
Expanding global mapping of foliage clumping index with multi-angular POLDER 3 measurements: evaluation and topographic compensation.,Expanding global mapping of the foliage clumping index with multi-angular POLDER three measurements: Evaluation and topographic compensation,J Pisek JM Chen,38,81.25%,76.47%
On the relationship between water table depth and water vapor and carbon dioxide fluxes in a minerotrophic fen.,On the relationship between water table depth and water vapor and carbon dioxide fluxes in a minerotrophic fen,,54,94.44%,94.44%
Improving clumping and LAI algorithms Based on Multi-angle Airborne Imagery and Ground Measurements.,Improving clumping and LAI algorithms based on multiangle airborne imagery and ground measurements,JM Chen,26,53.85%,53.85%
Reviewing the impact of incentive regulation on U.S. telephone service quality,Reviewing the impact of incentive regulation on US telephone service quality,,10,90.91%,90.91%
Ownership And Sector Performance In Present-Day China: A Regional Study,OWNERSHIP AND SECTOR PERFORMANCE IN PRESENT‐DAY CHINA: A REGIONAL STUDY,,2,10.00%,10.00%
Incentive Regulation and Telecommunications Service Quality,Incentive regulation and telecommunications service quality,S Martinez,57,33.33%,33.33%
Computing interaction effects and standard errors in logit and probit models,Computing interaction effects and standard errors in logit and probit models,EC Norton H Wang,1486,100.00%,100.00%
Efficient Estimation of Models with Conditional Moment Restrictions Containing Unknown Functions,Efficient estimation of models with conditional moment restrictions containing unknown functions,X Chen,588,27.27%,27.27%
Interaction terms in logit and probit models,Interaction terms in logit and probit models,EC Norton,4309,100.00%,100.00%
"The Impact of State Incentive Regulation on the U.S. Telecommunications Industry,",The impact of state incentive regulation on the US telecommunications industry,,220,36.36%,36.36%
A Modified Average Derivatives Estimator,A Modified Average Derivatives Estimator,,0,100.00%,100.00%
Standard errors for the retransformation problem with heteroscedasticity,Standard errors for the retransformation problem with heteroscedasticity,EC Norton,90,100.00%,100.00%
Estimation of some partially specified nonlinear models,Estimation of some partially specified nonlinear models,,26,100.00%,100.00%
On public capital analysis with state data,On public capital analysis with state data,SP Cassou,26,100.00%,100.00%
A Semiparametric Maximum Likelihood Estimator,A semiparametric maximum likelihood estimator,,124,20.00%,20.00%
Moral Hazard and Marshallian Inefficiency: Evidence from Tunisia,Moral hazard and Marshallian inefficiency: Evidence from Tunisia,,31,75.00%,75.00%
Moral Hazard and Marshallian Inefficiency: Evidence from Tunisia,Moral hazard and Marshallian inefficiency: Evidence from Tunisia,,31,75.00%,75.00%
Equivalence of the Standard and the Modified Switching Regression Models,Equivalence of the standard and the modified switching regression models,SP Cassou,0,50.00%,50.00%
"A Positive Semi-definite Covariance Matrix for Hausman Specification Tests of Conditional and Marginal Densities,",Maximum likelihood specification testing and conditional moment tests,,566,7.14%,12.50%
"A diagnostic test without numerical integration (Economics Letters 42, nos. 2-3, 1993, pp. 129-132),","[CITATION][C] A diagnostic test without numerical integration (Economics Letters 42, nos. 2–3, 1993, pp. 129–132)",SP Cassou,0,85.71%,80.00%
A semiparametric efficiency bound of a disequilibrium model without observed regime,A semiparametric efficiency bound of a disequilibrium model without observed regime,,4,100.00%,100.00%
A diagnostic test without numerical integration,A diagnostic test without numerical integration,SP Cassou,0,100.00%,100.00%
Estimation of a fixed effects bivariate censored regression model,Estimation of a fixed effects bivariate censored regression model,,4,100.00%,100.00%
Fusing Landsat and MODIS data for retrieving the seasonal variation of leaf area index at the Landsat resolution,Retrieving leaf area index of boreal conifer forests using Landsat TM images,JM Chen,832,27.78%,50.00%
Testing the top-down model inversion method of estimating leaf reflectance used to retrieve vegetation biochemical content within the empirical approach.,Testing the top-down model inversion method of estimating leaf reflectance used to retrieve vegetation biochemical content within empirical approaches,JM Chen SG Leblanc,4,90.00%,100.00%
Applying a dual optimization method to quantify carbon fluxes: recent progress in carbon flux inversion,Applying a dual optimization method to quantify carbon fluxes: recent progress in carbon flux inversion,Y Li J Chen T Wang,3,100.00%,100.00%
Nested Atmospheric Inversion for the Terrestrial Carbon Sources and Sinks in China.,Nested atmospheric inversion for the terrestrial carbon sources and sinks in China,F Jiang HW Wang JM Chen WM Ju,18,41.67%,41.67%
The applicability of empirical vegetation indices for determining leaf chlorophyll content over different leaf and canopy structures,The applicability of empirical vegetation indices for determining leaf chlorophyll content over different leaf and canopy structures,H Croft JM Chen,37,100.00%,100.00%
Nested Inversion of the North America Carbon Flux with Forest Stand Age Constraint,Nested inversion of the North America carbon flux with forest stand age constraint,JM Chen,1,46.15%,46.15%
Hybrid Geometric Optical-Radiative Transfer Model Suitable for Forests on Slopes.,Hybrid geometric optical–Radiative transfer model suitable for forests on slopes,JM Chen W Ju,7,30.00%,30.00%
GOST: geometric optical model for sloping terrains.,GOST: A geometric-optical model for sloping terrains,JM Chen W Ju,13,57.14%,57.14%
Reconstruction of interannual variability of NEP using a process-based model (InTEC) with climate and atmospheric records at Fluxnet-Canada forest sites,Reconstruction of interannual variability of NEP using a process‐based model (InTEC) with climate and atmospheric records at Fluxnet‐Canada forest sites,C Wu JM Chen,3,90.00%,90.00%
Development of a two-leaf light use efficiency model for improving the calculation of terrestrial gross primary productivity.,Development of a two-leaf light use efficiency model for improving the calculation of terrestrial gross primary productivity,W Ju,47,94.12%,94.12%
Improved assessment of gross and net primary productivity of Canada's landmass.,Improved assessment of gross and net primary productivity of Canada's landmass,A Gonsamo JM Chen,18,90.91%,90.91%
Refined estimate of China�s CO2 emissions in spatiotemporal distributions,Refined estimate of China's CO 2 emissions in spatiotemporal distributions,M Liu H Wang T Oda,23,77.78%,70.00%
Citizen Science: linking the recent rapid advances of plant flowering in Canada with climate variability.,Citizen Science: linking the recent rapid advances of plant flowering in Canada with climate variability,A Gonsamo JM Chen C Wu,16,93.33%,93.33%
Effects of Vegetation Heterogeneity and Surface Topography on Spatial Scaling of Net Primary Productivity.,Effects of vegetation heterogeneity and surface topography on spatial scaling of net primary productivity,JM Chen X Chen W Ju,17,35.71%,35.71%
The role of satellite remote sensing in climate change studies.,The role of satellite remote sensing in climate change studies,J Yang P Gong R Fu M Zhang J Chen S Liang,99,90.00%,90.00%
Incorporating weather sensitivity in inventory-based estimates of boreal forest productivity: a meta-analysis of process model results.,Incorporating weather sensitivity in inventory-based estimates of boreal forest productivity: A meta-analysis of process model results,Z Wang PY Bernier B Chen,8,87.50%,87.50%
Evidence of autumn phenology control on annual net ecosystem productivity in two temperate deciduous forests,Evidence of autumn phenology control on annual net ecosystem productivity in two temperate deciduous forests,C Wu CM Gough JM Chen A Gonsamo,14,100.00%,100.00%
"Improved LAI algorithm implementation to MODIS data by incorporating background, topography and foliage clumping information","Improved LAI algorithm implementation to MODIS data by incorporating background, topography, and foliage clumping information",A Gonsamo JM Chen,20,93.33%,93.33%
Characterization and intercomparison of global moderate resolution leaf area index (LAI) products: Analysis of climatologies and theoretical uncertainties.,Characterization and intercomparison of global moderate resolution leaf area index (LAI) products: Analysis of climatologies and theoretical uncertainties,W Li F Baret,66,94.44%,94.44%
"Modelling leaf chlorophyll content in broadleaf and needle leaf canopies from ground, CASI, Landsat and MERIS reflectance data.","Modelling leaf chlorophyll content in broadleaf and needle leaf canopies from ground, CASI, Landsat TM 5 and MERIS reflectance data",H Croft JM Chen Y Zhang,39,94.44%,85.00%
Interannual variability of net ecosystem productivity in forests is explained by carbon flux phenology in autumn.,Interannual variability of net ecosystem productivity in forests is explained by carbon flux phenology in autumn,C Wu,45,93.75%,93.75%
Drought Influences the Accuracy of Simulated Ecosystem Fluxes: A Model-Data Meta-analysis for Mediterranean Oak Woodlands,Drought influences the accuracy of simulated ecosystem fluxes: a model-data meta-analysis for Mediterranean oak woodlands,R Vargas G Abramowitz A Carrara,28,33.33%,33.33%
Deriving land surface phenology indicators from CO2 eddy covariance measurements,Deriving land surface phenology indicators from CO 2 eddy covariance measurements,A Gonsamo JM Chen P D'Odorico,16,90.00%,81.82%
Biotic driving forces for China's forest biomass carbon sink based on seven inventories from 1973 to 2008.,Combining LPJ-GUESS and HASM to simulate the spatial distribution of forest vegetation carbon stock in China,,8,17.65%,18.75%
Iconic CO2 time series at risk.,Iconic CO2 time series at risk,,8,83.33%,83.33%
Land surface phenology index from optical satellite measurements and CO2 eddy flux observations,Land surface phenology from optical satellite measurement and CO2 eddy covariance technique,A Gonsamo JM Chen,41,69.23%,75.00%
Diverse responses of vegetation production to interannual summer drought in North America.,Diverse responses of vegetation production to interannual summer drought in North America,C Wu JM Chen,13,91.67%,91.67%
Positive impacts of precipitation intensity on monthly CO2 fluxes in North America.,Positive impacts of precipitation intensity on monthly CO 2 fluxes in North America,C Wu JM Chen AR Desai,6,83.33%,76.92%
Evaluation and improvement of MODIS gross primary productivity in typical forest ecosystems of East Asia based on eddy covariance measurements.,Evaluation and improvement of MODIS gross primary productivity in typical forest ecosystems of East Asia based on eddy covariance measurements,W Ju L Zhang,10,95.00%,95.00%
Retrospective retrieval of long-term consistent global leaf area index (1981-2010) maps from combined AVHRR and MODIS data,Retrospective retrieval of long‐term consistent global leaf area index (1981–2011) from combined AVHRR and MODIS data,JM Chen,63,82.35%,87.50%
"Interannual and spatial impacts of phonological transitions, growing season length and spring and autumn emperatures on carbon sequestration: A North America flux data synthesis","Interannual and spatial impacts of phenological transitions, growing season length, and spring and autumn temperatures on carbon sequestration: A North America …",C Wu A Gonsamo JM Chen,34,70.83%,80.95%
Deriving a new phenological indicator of interannual net carbon exchange in contrasting boreal deciduous and evergreen forests.,Deriving a new phenological indicator of interannual net carbon exchange in contrasting boreal deciduous and evergreen forests,C Wu JM Chen,8,94.12%,94.12%
A model-data comparison of grass primary productivity: results from the North American Carbon Program site synthesis.,A model‐data comparison of gross primary productivity: Results from the North American Carbon Program site synthesis,CR Schwalm C Williams,166,75.00%,75.00%
Predicting  deciduous forest carbon uptake phenology by upscaling FLUXNET measurements using remote sensing data.,Predicting deciduous forest carbon uptake phenology by upscaling FLUXNET measurements using remote sensing data,A Gonsamo JM Chen C Wu,27,86.67%,92.86%
Interannual variability of carbon sequestration is determined by the lag between ends of net uptake and growing season: evidence from long records of two contrasting mature forests.,[CITATION][C] Interannual variability of carbon sequestration is determined by the lag between ends of net uptake and photosynthesis: Evidence from long records of two …,C Wu JM Chen A Gonsamo,13,74.07%,83.33%
Evaluating spatial and temporal patterns of MODIS GPP over the conterminous U.S. against flux measurements and a process model.,Evaluating spatial and temporal patterns of MODIS GPP over the conterminous US against flux measurements and a process model,F Zhang JM Chen J Chen CM Gough,61,89.47%,89.47%
Relationships between net primary productivity and stand age derived using Forest Inventory and Analysis data and remote sensing imagery.,Relationships between net primary productivity and stand age for several forest types and their influence on China's carbon balance,W Ju,68,47.37%,52.63%
Spectral response cross-calibration among 21 satellite sensors for global vegetation monitoring.,Impacts of spectral band difference effects on radiometric cross-calibration between satellite sensors in the solar-reflective spectral domain,,101,27.27%,17.65%
Attributing carbon changes in conterminous US forests to disturbance and non-disturbance factors from 1901 to 2010.,Attributing carbon changes in conterminous US forests to disturbance and non‐disturbance factors from 1901 to 2010,F Zhang JM Chen,48,87.50%,87.50%
An underestimated role of precipitation frequency in regulating summer soil moisture,An underestimated role of precipitation frequency in regulating summer soil moisture,C Wu JM Chen J Pumpanen A Cescatti,16,100.00%,100.00%
Spatial and temporal variations of forest LAI in China during 2000-2010,Spatial and temporal variations of forest LAI in China during 2000–2010,YB Liu WM Ju JM Chen,33,90.91%,90.91%
North American Carbon Project (NACP) regional interim synthesis: terrestrial biospheric model intercomparison,North American Carbon Program (NACP) regional interim synthesis: Terrestrial biospheric model intercomparison,DN Huntzinger WM Post Y Wei AM Michalak,137,83.33%,83.33%
How Stand Age Influences the Magnitude and Seasonality of Carbon Fluxes in Canadian Forests.,Influence of stand age on the magnitude and seasonality of carbon fluxes in Canadian forests,C Coursolle HA Margolis MA Giasson,46,42.86%,33.33%
Expanding MISR LAI products to high temporal resolution with MODIS observations,Expanding MISR LAI products to high temporal resolution with MODIS observations,JM Chen W Ju,4,100.00%,100.00%
Evaluation of leaf-to-canopy upscaling methodologies against carbon flux data in North America.,Evaluation of leaf‐to‐canopy upscaling methodologies against carbon flux data in North America,JM Chen A Desai,43,83.33%,83.33%
Estimation of repeat-pass ALOS PALSAR   interferometric baseline through direct least square ellipse fitting.,Estimation of the repeat-pass ALOS PALSAR interferometric baseline through direct least-square ellipse fitting,JM Chen,8,66.67%,76.92%
Remote sensing of canopy light use efficiency in temperate and boreal forests of North America using MODIS imagery.,Remote sensing of canopy light use efficiency in temperate and boreal forests of North America using MODIS imagery,C Wu JM Chen AR Desai DY Hollinger,44,94.44%,94.44%
Global clumping index map derived from the MODIS BRDF product.,Global clumping index map derived from the MODIS BRDF product,L He JM Chen J Pisek CB Schaaf,77,90.00%,90.00%
Effects of foliage clumping on global terrestrial gross primary productivity,Effects of foliage clumping on the estimation of global terrestrial gross primary productivity,JM Chen J Pisek J Liu,110,110.00%,76.92%
Land surface models need better representation of vegetation phenology: results from the North American Carbon Program Site Synthesis.,Terrestrial biosphere models need better representation of vegetation phenology: results from the North American Carbon Program Site Synthesis,AD Richardson,278,83.33%,83.33%
A change detection measure based on a likelihood ratio and statistical properties of SAR intensity images.,A change detection measure based on a likelihood ratio and statistical properties of SAR intensity images,JM Chen,22,93.75%,93.75%
. Foliage clumping index over China�s landmass retrieved from the MODIS BRDF products.,Foliage clumping index over China's landmass retrieved from the MODIS BRDF parameters product,W Ju P Gong,21,76.92%,76.92%
The use of precipitation intensity for estimating gross primary production in two northern grasslands.,The use of precipitation intensity in estimating gross primary production in four northern grasslands,C Wu JM Chen,13,85.71%,78.57%
Reviewing the impact of incentive regulation on U.S. telephone service quality,Reviewing the impact of incentive regulation on US telephone service quality,,10,90.91%,90.91%
Ownership And Sector Performance In Present-Day China: A Regional Study,OWNERSHIP AND SECTOR PERFORMANCE IN PRESENT‐DAY CHINA: A REGIONAL STUDY,,2,10.00%,10.00%
Incentive Regulation and Telecommunications Service Quality,Incentive regulation and telecommunications service quality,S Martinez,57,33.33%,33.33%
Computing interaction effects and standard errors in logit and probit models,Computing interaction effects and standard errors in logit and probit models,EC Norton H Wang,1486,100.00%,100.00%
Efficient Estimation of Models with Conditional Moment Restrictions Containing Unknown Functions,Efficient estimation of models with conditional moment restrictions containing unknown functions,X Chen,588,27.27%,27.27%
Interaction terms in logit and probit models,Interaction terms in logit and probit models,EC Norton,4309,100.00%,100.00%
"The Impact of State Incentive Regulation on the U.S. Telecommunications Industry,",The impact of state incentive regulation on the US telecommunications industry,,220,36.36%,36.36%
A Modified Average Derivatives Estimator,A Modified Average Derivatives Estimator,,0,100.00%,100.00%
Standard errors for the retransformation problem with heteroscedasticity,Standard errors for the retransformation problem with heteroscedasticity,EC Norton,90,100.00%,100.00%
