Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,S Wang GH Huang,31,100.00%,100.00%
Multi-source multi-sector sustainable water supply under multiple uncertainties: An inexact fuzzy-stochastic quadratic programming approach,Multi-source multi-sector sustainable water supply under multiple uncertainties: an inexact fuzzy-stochastic quadratic programming approach,,26,92.86%,92.86%
Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,W Zhang,31,100.00%,100.00%
A queue-based interval-fuzzy programming approach for electric-power systems planning,A queue-based interval-fuzzy programming approach for electric-power systems planning,,15,100.00%,100.00%
A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,S Wang GH Huang,24,100.00%,100.00%
A solution to the water resources crisis in wetlands: Development of a scenario-based modeling approach with uncertain features,A solution to the water resources crisis in wetlands: development of a scenario-based modeling approach with uncertain features,,13,94.44%,94.44%
Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,H Zhang,10,100.00%,100.00%
Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,C Dong,54,100.00%,100.00%
Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,,33,100.00%,100.00%
A robust approach for planning electric power systems associated with environmental policy analysis,A robust approach for planning electric power systems associated with environmental policy analysis,,23,100.00%,100.00%
Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,Generalized fuzzy linear programming for decision making under uncertainty: Feasibility of fuzzy solutions and solving approach,YR Fan,43,100.00%,100.00%
"An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China","An inexact two-stage stochastic programming model for water resources management in Nansihu Lake Basin, China",W Li JB Li,31,100.00%,100.00%
"Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China: A dynamic inexact energy systems optimization model","Energy systems planning and GHG-emission control under uncertainty in the province of Liaoning, China–A dynamic inexact energy systems optimization model",J Liu,9,90.48%,95.00%
Development of optimal water-resources management strategies for Kaidu-kongque watershed under multiple uncertainties,Development of optimal water-resources management strategies for kaidu-kongque watershed under multiple uncertainties,,4,91.67%,91.67%
A hybrid interval-robust optimization model for water quality management,A hybrid interval–robust optimization model for water quality management,,8,88.89%,88.89%
An inventory-theory-based inexact multistage stochastic programming model for water resources management,An inventory-theory-based inexact multistage stochastic programming model for water resources management,YR Fan Z Li,6,100.00%,100.00%
Interactive fuzzy boundary interval programming for air quality management under uncertainty,Interactive fuzzy boundary interval programming for air quality management under uncertainty,S Wang GH Huang,19,100.00%,100.00%
"Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China","Seeking optimal groundwater pumping strategies at Pinggu District in Beijing, China",,2,100.00%,100.00%
Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,Planning carbon emission trading for Beijing's electric power systems under dual uncertainties,,30,100.00%,100.00%
Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,Effect of different buffer agents on in-vessel composting of food waste: Performance analysis and comparative study,S Li H Yu,14,100.00%,100.00%
Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: An application to solid waste management,Inexact joint-probabilistic chance-constrained programming with left-hand-side randomness: an application to solid waste management,,22,92.31%,92.31%
Inexact two-stage stochastic credibility constrained programming for water quality management,Inexact two-stage stochastic credibility constrained programming for water quality management,Z Li,42,100.00%,100.00%
Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,Improved solubilities of PAHs by multi-component Gemini surfactant systems with different spacer lengths,S Wang S Zhao,26,100.00%,100.00%
A robust risk analysis method for water resources allocation under uncertainty,A robust risk analysis method for water resources allocation under uncertainty,C Chen,17,100.00%,100.00%
Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty,,18,100.00%,100.00%
"Risk assessment of agricultural irrigation water under interval functions,",Risk assessment of agricultural irrigation water under interval functions,,12,88.89%,88.89%
Risk analysis and management for water resources systems,Risk analysis and management for water resources systems,,10,100.00%,100.00%
A dual two-stage stochastic model for flood management with inexact-integer analysis under multiple uncertainties,A dual two-stage stochastic model for flood management with inexact-integer analysis under multiple uncertainties,,4,100.00%,100.00%
Development of an optimization model for water resources systems planning,Development of an optimization model for water resources systemsplanning,ZF Yang,3,80.00%,88.89%
"Fuzzy two-stage non-point source pollution management model for agricultural systems - A case study for the Lake Tai Basin, China,","Fuzzy two-stage non-point source pollution management model for agricultural systems—A case study for the Lake Tai Basin, China",,16,80.00%,88.89%
Development of climate change projections for small watersheds using multi-model ensemble simulation and stochastic weather generation,Development of climate change projections for small watersheds using multi-model ensemble simulation and stochastic weather generation,H Zhang,10,100.00%,100.00%
A coupled factorial-analysis-based interval programming approach and its application to air quality management,A coupled factorial-analysis-based interval programming approach and its application to air quality management,S Wang GH Huang,12,100.00%,100.00%
A scenario-based modeling approach for emergency evacuation management and risk analysis under multiple uncertainties,A scenario-based modeling approach for emergency evacuation management and risk analysis under multiple uncertainties,,23,100.00%,100.00%
A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,A two-stage mixed-integer fuzzy programming with interval-valued membership functions approach for flood-diversion planning,S Wang GH Huang,31,100.00%,100.00%
Multi-source multi-sector sustainable water supply under multiple uncertainties: An inexact fuzzy-stochastic quadratic programming approach,Multi-source multi-sector sustainable water supply under multiple uncertainties: an inexact fuzzy-stochastic quadratic programming approach,,26,92.86%,92.86%
Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,Gemini micellar enhanced ultrafiltration (GMEUF) process for the treatment of phenol wastewater,W Zhang,31,100.00%,100.00%
A queue-based interval-fuzzy programming approach for electric-power systems planning,A queue-based interval-fuzzy programming approach for electric-power systems planning,,15,100.00%,100.00%
A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,A sequential factorial analysis approach to characterize the effects of uncertainties for supporting air quality management,S Wang GH Huang,24,100.00%,100.00%
A solution to the water resources crisis in wetlands: Development of a scenario-based modeling approach with uncertain features,A solution to the water resources crisis in wetlands: development of a scenario-based modeling approach with uncertain features,,13,94.44%,94.44%
Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,Establishment of channel networks in a digital elevation model of the prairie region through hydrological correction and geomorphological assessment,H Zhang,10,100.00%,100.00%
Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,Robust planning of energy management systems with environmental and constraint-conservative considerations under multiple uncertainties,C Dong,54,100.00%,100.00%
Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,Water resources management under multi-parameter interactions: A factorial multi-stage stochastic programming approach,,33,100.00%,100.00%
A robust approach for planning electric power systems associated with environmental policy analysis,A robust approach for planning electric power systems associated with environmental policy analysis,,23,100.00%,100.00%
Stepwise adsorption of phenanthrene at the fly ash-water interface as affected by solution chemistry: Experimental and modeling studies,Stepwise adsorption of phenanthrene at the fly ash–water interface as affected by solution chemistry: experimental and modeling studies,,33,88.89%,88.89%
An integrated multi-level watershed-reservoir modeling system for examining hydrological and biogeochemical processes in small prairie watersheds,An integrated multi-level watershed-reservoir modeling system for examining hydrological and biogeochemical processes in small prairie watersheds,H Zhang X Zhang,14,100.00%,100.00%
Agricultural water management under uncertainty using minimax relative-regret analysis method,Agricultural water management under uncertainty using minimax relative regret analysis method,,6,90.00%,81.82%
Robust planning of environmental management systems with adjustable conservativeness under compound uncertainty,Robust planning of environmental management systems with adjustable conservativeness under compound uncertainty,,10,100.00%,100.00%
Removal of phenol from synthetic waste water using Gemini Micellar-Enhanced ultrafiltration (GMEUF),Removal of phenol from synthetic waste water using Gemini micellar-enhanced ultrafiltration (GMEUF),W Zhang H Li,32,91.67%,91.67%
Development of a clusterwise-linear-regression-based forecasting system for characterizing DNAPL dissolution behaviors in porous media,Development of a clusterwise-linear-regression-based forecasting system for characterizing DNAPL dissolution behaviors in porous media,S Wang GH Huang,18,100.00%,100.00%
Evaluation of remedial options for a benzene-contaminated site through a simulation-based fuzzy-MCDA approach,Evaluation of remedial options for a benzene-contaminated site through a simulation-based fuzzy-MCDA approach,YR Fan,25,100.00%,100.00%
Integer fuzzy credibility constrained programming for power system management,Integer fuzzy credibility constrained programming for power system management,,34,100.00%,100.00%
Performance of in-vessel composting of food waste in the presence of coal ash and uric acid,Performance of in-vessel composting of food waste in the presence of coal ash and uric acid,,44,100.00%,100.00%
An inexact optimization modeling approach for supporting energy systems planning and air pollution mitigation in Beijing City,An inexact optimization modeling approach for supporting energy systems planning and air pollution mitigation in Beijing city,C Dong,73,94.12%,94.12%
"Simulation-based inexact rough-interval programming for agricultural irrigation management: A case study in the Yongxin County, China","Simulation-based inexact rough-interval programming for agricultural irrigation management: a case study in the Yongxin County, China",,16,93.75%,93.75%
Robust interval linear programming for environmental decision making under uncertainty,Robust interval linear programming for environmental decision making under uncertainty,YR Fan,21,100.00%,100.00%
Inexact two-phase fuzzy programming and its application to municipal solid waste management,Inexact two-phase fuzzy programming and its application to municipal solid waste management,,17,100.00%,100.00%
Influence of uric acid amendment on the in-vessel process of composting composite food waste,Influence of uric acid amendment on the in‐vessel process of composting composite food waste,S Li H Yu,4,92.86%,92.86%
Development of an interval multi-stage stochastic programming model for regional energy systems planning and GHG emission control under uncertainty,Development of an interval multi‐stage stochastic programming model for regional energy systems planning and GHG emission control under uncertainty,Y Chen,8,94.74%,94.74%
An uncertain energy planning model under carbon taxes,An uncertain energy planning model under carbon taxes,Y Xu,3,100.00%,100.00%
Enhanced aqueous solubility of naphthalene and pyrene by binary and ternary Gemini cationic and conventional nonionic surfactants,Enhanced aqueous solubility of naphthalene and pyrene by binary and ternary Gemini cationic and conventional nonionic surfactants,S Zhao Y Fan,26,100.00%,100.00%
Robust interval quadratic programming and its application to waste management under uncertainty,Robust interval quadratic programming and its application to waste management under uncertainty,,4,100.00%,100.00%
A modeling approach for investigating climate change impacts on renewable energy utilization,A modeling approach for investigating climate change impacts on renewable energy utilization,L Liu,15,100.00%,100.00%
Modelling to generate alternative policies in highly uncertain environments: An application to municipal solid waste management planning,Modelling to generate alternative policies in highly uncertain environments: an application to municipal solid waste management planning,,26,94.12%,94.12%
Efficient management of air quality considering fuzzy confidences with varied reliabilities,Efficient management of air quality considering fuzzy confidences with varied reliabilities,C Chen,8,100.00%,100.00%
A generalized fuzzy linear programming approach for environmental management problem under uncertainty,A generalized fuzzy linear programming approach for environmental management problem under uncertainty,Y Fan,20,100.00%,100.00%
Development of an interval-based evacuation management model in response to nuclear-power plant accident,Development of an interval-based evacuation management model in response to nuclear-power plant accident,YP Li XW Wang,14,100.00%,100.00%
An interval mixed-integer non-linear programming model to support regional electric power systems planning with CO2 capture and storage under uncertainty,An interval mixed-integer non-linear programming model to support regional electric power systems planning with CO2 capture and storage under uncertainty,XQ Wang,3,100.00%,100.00%
Climate change impacts on Ontario wind power resource,Climate change impacts on Ontario wind power resource,,10,100.00%,100.00%
Inexact de novo programming for agricultural irrigation system planning,Inexact De Novo Programming for Agricultural Irrigation System Planning,,0,22.22%,22.22%
Two-stage inexact-probabilistic programming model for water quality management,Two-stage inexact-probabilistic programming model for water quality management,Y Li,7,100.00%,100.00%
Effects of aeration parameters on effluent quality and membrane fouling in a submerged membrane bioreactor using Box–Behnken response surface methodology,Effects of aeration parameters on effluent quality and membrane fouling in a submerged membrane bioreactor using Box–Behnken response surface methodology,,28,100.00%,100.00%
An interval full-infinite programming approach for energy systems planning under multiple uncertainties,An interval full-infinite programming approach for energy systems planning under multiple uncertainties,,15,100.00%,100.00%
Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing,"Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing, China",Z Liu,9,94.44%,89.47%
A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,C Dong,6,100.00%,100.00%
A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,GH Huang,0,100.00%,100.00%
Sensitive and renewable picloram immunosensor based onparamagnetic immobilisation,Sensitive and renewable picloram immunosensor based on paramagnetic immobilisation,Y Zhang,6,87.50%,77.78%
A grey linear programming approach for municipal solid waste management planning under uncertainty,A grey linear programming approach for municipal solid waste management planning under uncertainty,BW Baetz GG Patry,454,100.00%,100.00%
A putative lipase gene EXTRA GLUME1 regulates both empty-glume fate and spikelet development in rice,A putative lipase gene EXTRA GLUME1 regulates both empty‐glume fate and spikelet development in rice,D Xue Z Xing,63,93.33%,93.33%
Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,,22,100.00%,100.00%
"Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice","Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice",,106,100.00%,100.00%
Heat transfer properties of the numerical human body simulated from the thermal manikin,Heat transfer properties of the numerical human body simulated from the thermal manikin,Y Lu,11,100.00%,100.00%
Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,X Han,6,100.00%,100.00%
Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,,13,100.00%,100.00%
A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,Z Huang,6,100.00%,100.00%
Structure−Activity Relationship Analysis of Peptides Targeting the EphA2 Receptor,Structure− activity relationship analysis of peptides targeting the EphA2 receptor,,37,33.33%,30.00%
Experimental study on horizontal wellbore cleanout by rotating jets,Experimental study on horizontal wellbore cleanout by rotating jets,,10,100.00%,100.00%
Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,,11,100.00%,100.00%
"Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air","Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air",,40,100.00%,100.00%
On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,,35,100.00%,100.00%
Cyclic hexapeptide analogs of somatostatin containing bridge modifications: Syntheses and conformational analyses,Cyclic hexapeptide analogs of somatostatin containing bridge modifications,,33,58.33%,87.50%
Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,FRP Crisóstomo,11,100.00%,100.00%
Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,,19,100.00%,100.00%
Depletion Model of Aluminum in Bond Coat for Plasma-Sprayed Thermal Barrier Coatings,Depletion model of aluminum in bond coat for plasma-sprayed thermal barrier coatings,,2,33.33%,33.33%
Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,HM Xu,0,100.00%,100.00%
Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Z Huang,8,100.00%,100.00%
Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,,9,100.00%,100.00%
Differential Regulation of Bax and Bak by Anti-apoptotic Bcl2 Family Proteins BclB and Mcl-1,Differential regulation of Bax and Bak by anti-apoptotic Bcl-2 family proteins Bcl-B and Mcl-1,,126,57.14%,57.14%
Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the family,Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the …,M Drag,45,90.91%,95.24%
Thermal stability of Ti–44Al–8Nb–1B alloy,Thermal stability of Ti–44Al–8Nb–1B alloy,,34,100.00%,100.00%
Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Z Huang,15,100.00%,100.00%
Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,,53,100.00%,100.00%
High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,,30,100.00%,100.00%
Inertia Friction Welding Dissimilar Nickel-Based Superalloys Alloy 720Li to IN718,Inertia friction welding dissimilar nickel-based superalloys alloy 720Li to IN718,M Preuss M Karadge,55,40.00%,40.00%
Dynamic simulation of solid-state diffusion bonding,Dynamic simulation of solid-state diffusion bonding,,18,100.00%,100.00%
Crystal Structure and Structural Mechanism of a Novel Anti-Human Immunodeficiency Virus and D-Amino AcidContaining Chemokine,Crystal structure and structural mechanism of a novel anti-human immunodeficiency virus and D-amino acid-containing chemokine,Y Li,12,33.33%,33.33%
Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,JJ Wang,0,100.00%,100.00%
Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,,22,100.00%,100.00%
"Microwave-Assisted Solution-Phase Parallel Synthesis of 2,4,6Trisubstituted Pyrimidines","Microwave-assisted solution-phase parallel synthesis of 2, 4, 6-trisubstituted pyrimidines",J Wang,20,14.29%,11.11%
"Microwave-Assisted Reaction of 2′-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4,5 Dihydropyrazole Derivatives","Microwave-Assisted Reaction of 2 '-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4, 5-Dihydropyrazole Derivatives",,8,78.57%,73.33%
An interval full-infinite programming approach for energy systems planning under multiple uncertainties,An interval full-infinite programming approach for energy systems planning under multiple uncertainties,,15,100.00%,100.00%
Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing,"Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing, China",Z Liu,9,94.44%,89.47%
A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,C Dong,6,100.00%,100.00%
A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,GH Huang,0,100.00%,100.00%
Sensitive and renewable picloram immunosensor based onparamagnetic immobilisation,Sensitive and renewable picloram immunosensor based on paramagnetic immobilisation,Y Zhang,6,87.50%,77.78%
A grey linear programming approach for municipal solid waste management planning under uncertainty,A grey linear programming approach for municipal solid waste management planning under uncertainty,BW Baetz GG Patry,454,100.00%,100.00%
A putative lipase gene EXTRA GLUME1 regulates both empty-glume fate and spikelet development in rice,A putative lipase gene EXTRA GLUME1 regulates both empty‐glume fate and spikelet development in rice,D Xue Z Xing,63,93.33%,93.33%
Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,,22,100.00%,100.00%
"Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice","Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice",,106,100.00%,100.00%
Heat transfer properties of the numerical human body simulated from the thermal manikin,Heat transfer properties of the numerical human body simulated from the thermal manikin,Y Lu,11,100.00%,100.00%
Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,X Han,6,100.00%,100.00%
Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,,13,100.00%,100.00%
A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,Z Huang,6,100.00%,100.00%
Structure−Activity Relationship Analysis of Peptides Targeting the EphA2 Receptor,Structure− activity relationship analysis of peptides targeting the EphA2 receptor,,37,33.33%,30.00%
Experimental study on horizontal wellbore cleanout by rotating jets,Experimental study on horizontal wellbore cleanout by rotating jets,,10,100.00%,100.00%
Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,,11,100.00%,100.00%
"Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air","Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air",,40,100.00%,100.00%
On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,,35,100.00%,100.00%
Cyclic hexapeptide analogs of somatostatin containing bridge modifications: Syntheses and conformational analyses,Cyclic hexapeptide analogs of somatostatin containing bridge modifications,,33,58.33%,87.50%
Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,FRP Crisóstomo,11,100.00%,100.00%
Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,,19,100.00%,100.00%
Depletion Model of Aluminum in Bond Coat for Plasma-Sprayed Thermal Barrier Coatings,Depletion model of aluminum in bond coat for plasma-sprayed thermal barrier coatings,,2,33.33%,33.33%
Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,HM Xu,0,100.00%,100.00%
Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Z Huang,8,100.00%,100.00%
Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,,9,100.00%,100.00%
Differential Regulation of Bax and Bak by Anti-apoptotic Bcl2 Family Proteins BclB and Mcl-1,Differential regulation of Bax and Bak by anti-apoptotic Bcl-2 family proteins Bcl-B and Mcl-1,,126,57.14%,57.14%
Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the family,Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the …,M Drag,45,90.91%,95.24%
Thermal stability of Ti–44Al–8Nb–1B alloy,Thermal stability of Ti–44Al–8Nb–1B alloy,,34,100.00%,100.00%
Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Z Huang,15,100.00%,100.00%
Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,,53,100.00%,100.00%
High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,,30,100.00%,100.00%
Inertia Friction Welding Dissimilar Nickel-Based Superalloys Alloy 720Li to IN718,Inertia friction welding dissimilar nickel-based superalloys alloy 720Li to IN718,M Preuss M Karadge,55,40.00%,40.00%
Dynamic simulation of solid-state diffusion bonding,Dynamic simulation of solid-state diffusion bonding,,18,100.00%,100.00%
Crystal Structure and Structural Mechanism of a Novel Anti-Human Immunodeficiency Virus and D-Amino AcidContaining Chemokine,Crystal structure and structural mechanism of a novel anti-human immunodeficiency virus and D-amino acid-containing chemokine,Y Li,12,33.33%,33.33%
Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,JJ Wang,0,100.00%,100.00%
Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,,22,100.00%,100.00%
"Microwave-Assisted Solution-Phase Parallel Synthesis of 2,4,6Trisubstituted Pyrimidines","Microwave-assisted solution-phase parallel synthesis of 2, 4, 6-trisubstituted pyrimidines",J Wang,20,14.29%,11.11%
"Microwave-Assisted Reaction of 2′-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4,5 Dihydropyrazole Derivatives","Microwave-Assisted Reaction of 2 '-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4, 5-Dihydropyrazole Derivatives",,8,78.57%,73.33%
An interval full-infinite programming approach for energy systems planning under multiple uncertainties,An interval full-infinite programming approach for energy systems planning under multiple uncertainties,,15,100.00%,100.00%
Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing,"Hybrid inexact optimization approach with data envelopment analysis for environment management and planning in the city of Beijing, China",Z Liu,9,94.44%,89.47%
A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,C Dong,6,100.00%,100.00%
A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,GH Huang,0,100.00%,100.00%
Sensitive and renewable picloram immunosensor based onparamagnetic immobilisation,Sensitive and renewable picloram immunosensor based on paramagnetic immobilisation,Y Zhang,6,87.50%,77.78%
A grey linear programming approach for municipal solid waste management planning under uncertainty,A grey linear programming approach for municipal solid waste management planning under uncertainty,BW Baetz GG Patry,454,100.00%,100.00%
A putative lipase gene EXTRA GLUME1 regulates both empty-glume fate and spikelet development in rice,A putative lipase gene EXTRA GLUME1 regulates both empty‐glume fate and spikelet development in rice,D Xue Z Xing,63,93.33%,93.33%
Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,,22,100.00%,100.00%
"Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice","Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice",,106,100.00%,100.00%
Heat transfer properties of the numerical human body simulated from the thermal manikin,Heat transfer properties of the numerical human body simulated from the thermal manikin,Y Lu,11,100.00%,100.00%
Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,X Han,6,100.00%,100.00%
