line,title,author,cited_num,relate,reverse_relate
Chiral N-phosphonyl imine chemistry: asymmetric additions of glycine enolate to diphenyl diamine-based phosphonyl imines.,Chiral N-phosphonyl imine chemistry: asymmetric additions of glycine enolate to diphenyl diamine-based phosphonyl imines,PV Kattamuri,13,92.86%,92.86%
Rhodium(I)-Catalyzed Intramolecular Ene Reaction of Vinylidenecyclopropanes and Alkenes for the Formation of Bicyclo[5.1.0]octylenes,Rhodium (I)-catalyzed intramolecular ene reaction of vinylidenecyclopropanes and alkenes for the formation of bicyclo [5.1. 0] octylenes,,28,38.46%,29.41%
"Microwave (MW) Irradiated Five- and Four-component Domino Reactions Leading to 2-(2'-Azaaryl)Imidazoles and anti-1,2-Diarylethylbenzamides.","… enabled umpulong mechanism based rapid and efficient four-and six-component domino formations of 2-(2′-azaaryl) imidazoles and anti-1, 2-diarylethylbenzamides",,60,15.38%,11.76%
Four-Component Domino Reaction Leading to Multifunctionalized Quinazolines.,Four-component domino reaction leading to multifunctionalized quinazolines,P Kaur W Wever,186,14.29%,14.29%
"Chiral N-Phosphonyl Imine Chemistry: Asymmetric Synthesis of α,β-Diamino Esters by Reacting Phosphonyl Imines with Glycine Enolates","Chiral N-phosphonyl imine chemistry: asymmetric synthesis of α, β-diamino esters by reacting phosphonyl imines with glycine enolates",,28,25.00%,23.53%
Chiral N-phosphonylimine Chemistry: asymmetric additions of malonate-derived enolates to chiral N-phosphonyl imines for the synthesis of β-aminomalonates,Chiral N-phosphonyl imine chemistry: asymmetric additions of malonate-derived enolates to chiral N-phosphonyl imines for the synthesis of β-aminomalonates,P Kaur,27,94.12%,83.33%
Chiral N-phosphonylimine Chemistry: asymmetric synthesis of α-alkyl β-amino ketones by reacting phosphonyl imines with ketone-derived enolates,Chiral N‐Phosphonyl Imine Chemistry: Asymmetric Synthesis of α‐Alkyl β‐Amino Ketones by Reacting Phosphonyl Imines with Ketone‐Derived Enolates,,20,31.25%,29.41%
Chiral N-phosphonylimine Chemistry: Asymmetric Synthesis of N-phosphonyl β-amino Weinreb Amides,Chiral N‐Phosphonylimine Chemistry: Asymmetric Synthesis of N‐Phosphonyl β‐Amino Weinreb Amides,P Kaur,22,70.00%,70.00%
"Chiral phosphoramides, chiral N-phosphonimines and methods for forming the same","Chiral phosphoramides, chiral N-phosphonimines and methods for forming the same",,0,100.00%,100.00%
Chiral N-Phosphonyl Imine Chemistry: Asymmetric Carbonyl Addition Reaction for the Synthesis of -Amino Ketones,Chiral N-phosphonyl imine chemistry: asymmetric addition of ketone-derived enolates for the synthesis of β-amino ketones,J Han,22,35.71%,26.67%
Chiral N-Phosphonyl Imine Chemistry: Asymmetric Additions of Ester Enolates for the Synthesis of -Amino Acids.,Chiral N‐Phosphonyl Imine Chemistry: Asymmetric Additions of Ester Enolates for the Synthesis of β‐Amino Acids,J Han,30,80.00%,80.00%
"Chiral N-phosphonyl imine chemistry: asymmetric 1,2-additions of allylmagnesium bromides.","Chiral N-phosphonyl imine chemistry: asymmetric 1, 2-additions of allylmagnesium bromides",P Kaur,33,77.78%,70.00%
Chiral N-Phosphonyl Imine Chemsitry: Asymmetric Aza-Henry Reaction,Chiral N‐Phosphonyl Imine Chemistry: Asymmetric Aza‐Henry Reaction,P Kaur,38,57.14%,57.14%
Phage Display and its Application for the Detection and Therapeutic Intervention of Biological Threat Agents,Bacteriophages and their implications on future biotechnology: a review,WN Chaudhry MN Akhtar,118,6.67%,22.22%
"Catalytic Aminohalogenation Reaction of -Nitrostyrenes with N, N-Dichloro-p-tolunesulfonamide Resulted in Dichlorinated Haloamines with Opposite Regiochemistry.","Catalytic aminohalogenation reaction of β-nitrostyrenes with N, N-dichloro-p-toluenesulfonamide resulting in dichlorinated haloamides with opposite regiochemistry to …",,28,40.00%,37.50%
Peroxisome Proliferator Activated Receptors Mediate Host Cell Pro-inflammatory Responses to P. aeruginosa Autoinducer.,Peroxisome proliferator-activated receptors mediate host cell proinflammatory responses to Pseudomonas aeruginosa autoinducer,,110,23.08%,25.00%
"Asymmetric Catalytic aza-Morita-Baylis-Hillman Reaction of N-Sulfonated Imines with ,-Unsaturated Ketones Using Bifunctional Phosphine-Amide Catalysts.",Asymmetric catalytic aza-Morita–Baylis–Hillman reaction using chiral bifunctional phosphine amides as catalysts,,72,7.14%,9.09%
Chiral N-Phosphonyl Imine Chemistry I: New Reagents and Reactivity for Asymmetric Reactions,Chiral N-phosphonyl imine chemistry: new reagents and their applications for asymmetric reactions,,71,25.00%,25.00%
"Catalytic Diamination of Alkenes using N,N-Dibromo-p-toluenesulfonamide as Electrophile and Nitriles as Nucleophiles","Catalytic Diamination of Alkenes using N, N‐Dibromo‐p‐toluenesulfonamide as Electrophile and Nitriles as Nucleophiles",J Han,23,91.67%,84.62%
"Microwave-assisted combinatorial synthesis of polysubstituent imidazo[1,2-a]quinoline, pyrimido[1,2-a]quinoline and quinolino[1,2-a]quinazoline derivatives.","Microwave-assisted combinatorial synthesis of polysubstituent imidazo [1, 2-a] quinoline, pyrimido [1, 2-a] quinoline and quinolino [1, 2-a] quinazoline derivatives",,77,60.00%,31.58%
A Novel Staining Method for Protein Analysis by Capillary Gel Electrophoresis.,Gel electrophoresis of proteins: a practical approach,,1731,9.09%,14.29%
Chelation-Controlled Asymmetric Aminohalogenation Reaction.,Chelation-controlled asymmetric aminohalogenation reaction,,27,0.00%,0.00%
Recent development of regio- and stereoselective aminohalogenation reaction of alkenes,Recent Development of Regio‐and Stereoselective Aminohalogenation Reaction of Alkenes,,88,30.00%,33.33%
CuCl-Catalyzed Regio- and Stereoselective Aminohalogenation of Unsaturated Nitriles,"CuCl‐Catalyzed Regio‐and Stereoselective Aminohalogenation of α, β‐Unsaturated Nitriles",JL Han,41,50.00%,50.00%
"Ionic Liquid, [bmim][N(SO2CF3)2], Resulted in the First Catalyst-Free Aminohalogenation of Electron-Deficient Alkenes","… Liquid, 1‐n‐Butyl‐3‐methylimidazolium Bis (trifluoromethanesulfonyl) imide, Resulted in the First Catalyst‐Free Aminohalogenation of Electron‐Deficient Alkenes",,31,58.33%,50.00%
ZrCl4-catalyzed X-C/C-C bond formation for the geometric selective synthesis of (E)-beta-iodo aza Morita-Baylis-Hillman (MBH) adducts,ZrCl 4-catalyzed X–C/C–C bond formation for the geometric selective synthesis of (E)-β-iodo aza Morita–Baylis–Hillman (MBH) adducts,,18,73.33%,68.75%
"Aziridination of Alkenes using N,N-Dichloro-p-toluenesulfonamide as Nitrogen Source and Palladium as Catalyst","Palladium-catalyzed aziridination of alkenes using N, N-dichloro-p-toluenesulfonamide as nitrogen source",J Han,38,25.00%,40.00%
Pseudomonas aeruginosa Autoinducer Modulates Host Cell Responses Through Calcium Signaling,Pseudomonas aeruginosa autoinducer modulates host cell responses through calcium signalling,D Terentyev,124,20.00%,20.00%
Caenorhabditis elegans Senses Bacterial Autoinducers,Caenorhabditis elegans senses bacterial autoinducers,E Beale MW Tan,94,40.00%,40.00%
Novel Approach to Multifunctionalized Homoallylic Alcohols via Regioselective Ring Opening of Aryl Oxiranes with 3-Iodo Allenoates,Novel Approach to Multifunctionalized Homoallylic Alcohols via Regioselective Ring Opening of Aryl Oxiranes with 3-Iodo Allenoates,P Kaur,15,100.00%,100.00%
Highly Z/E Stereoselective Approach to -Iodo Aza Morita-Baylis-Hillman Adducts.,Highly Z/E stereoselective approach to β-iodo aza Morita–Baylis–Hillman adducts,,19,33.33%,33.33%
Vicinal diamino functionalities as privileged structural elements in biologically-active compounds and exploiting their synthetic chemistry.,Vicinal diamino functionalities as privileged structural elements in biologically active compounds and exploitation of their synthetic chemistry,,239,80.00%,70.59%
FeCl3-Catalyzed Aminohalogenation of Arylmethylenecyclopropanes and Arylvinylidenecyclopropanes and the Corresponding Mechanism Studies.,FeCl3-Catalyzed aminohalogenation of arylmethylenecyclopropanes and arylvinylidenecyclopropanes and corresponding mechanistic studies,,74,36.36%,40.00%
New Developments on Catalytic Negishi Cross-Coupling Reactions.,[CITATION][C] New Developments on Catalytic Negishi Cross‐Coupling Reactions,,1,71.43%,62.50%
The Design and Synthesis of C-2 Substituted Chiral Imidazolium Ionic Liquids from Amino Acid Derivatives.,Design and synthesis of C-2 substituted chiral imidazolium ionic liquids from amino acid derivatives,,44,33.33%,35.71%
Aza Diels-Alder Reaction Utilizing 4-iodo-2-trimethylsilyloxy-butadiene.,Aza Diels–Alder reactions utilizing 4-iodo-2-trimethylsilyloxy-butadiene,,19,20.00%,20.00%
Allylic Alkylation Reactions With Acyclic Cu-Enolates.,[CITATION][C] Allylic Alkylation Reactions With Acyclic Cu-Enolates,,0,83.33%,71.43%
Manganese (IV) oxide-catalyzed electrophilic diamination of alkenes provides an easy synthesis of -diamino derivatives for peptidomimetic studies.,"Manganese (IV) oxide‐catalyzed electrophilic diamination of electron‐deficient alkenes provides an easy synthesis of α, β‐diamino acid and ketone derivatives for …",,13,70.59%,60.00%
The Enantioselective Halo Aldol Reaction Utilizing Cyclopropyl Ketone Derived Enolates,The enantioselective halo aldol reaction utilizing cyclopropyl ketone-derived enolates,,2,10.00%,11.11%
Asymmetric Halo Mannich Type Reaction Provides Access to Pyrrolidines and -Proline Derivatives,Asymmetric halo-mannich-type reaction provides access to pyrrolidines and β-proline derivatives,,12,25.00%,30.00%
"Functionalization of -Unsaturated Esters and Ketones: A Facile and Highly Stereoselective One-Pot Approach to N-Protected ,-Dehydroamino Acid Derivatives","Functionalization of α, β-unsaturated esters and ketones: a facile and highly stereoselective one-pot approach to N-protected α, β-dehydroamino acid derivatives",,52,27.78%,25.00%
The First Asymmetric Catalytic Halo Aldol Reaction of -Iodo Allenoates with Aldehydes by using Chiral Salen Catalys,The first asymmetric catalytic halo aldol reaction of β-iodo allenoates with aldehydes by using chiral salen catalyst,,31,29.41%,29.41%
Lewis Acid-Promoted Asymmetric Umpolung Reaction via the Use of Chiral N-Sulfinyl Imines as the Electrophiles,Some recent applications of α-amino nitrile chemistry,,397,6.67%,14.29%
Construction of a Bacterial Autoinducer Detection System in Mammalian Cells,Construction of a bacterial autoinducer detection system in mammalian cells,,17,40.00%,40.00%
Ionic Liquid Media Resulted in the First Asymmetric Aminohalogenation Reaction of Alkenes.,Ionic liquid media resulted in the first asymmetric aminohalogenation reaction of alkenes,,63,33.33%,33.33%
Stereoselective Aldol Coupling to Synthesize (Z)--(hydroxyalkyl)--Iodoacrylates using Magnesium Diiodide (MgI2) as Promote,β-Iodoallenolates as Springboards for Annulation Reactions,,22,8.33%,16.67%
Z/E Stereoselective Synthesis of -Bromo Baylis-Hillman Ketones using MgBr2 as Promoter via a One-pot Three-Component reaction,Z/E Stereoselective synthesis of β-bromo Baylis–Hillman ketones using MgBr 2 as promoter via a one-pot three-component reaction,PW Paré,22,50.00%,47.06%
Ionic Liquid Media Resulted in More Efficient Regio- and Stereoselective Aminohalogenation of Cinnamic Esters,Ionic liquid media resulted in more efficient regio-and stereoselective aminohalogenation of cinnamic esters,,51,21.43%,23.08%
MgI2-Catalyzed Halo Aldol Reaction: a Practical Approach to (E)--Iodovinyl-'-hydroxyketones,MgI 2-catalyzed halo aldol reaction: a practical approach to (E)-β-iodovinyl-β′-hydroxyketones,MA Farag PW Paré,15,22.22%,20.00%
The Combination of 2-NsNH2/NCS and MeCN as the Nitrogen Sources for the Regio- and Stereoselective Diamination of -Unsaturated Ketones,"The combination of 2-NsNH 2/NCS and MeCN as the nitrogen sources for the regio-and stereoselective formation of imidazolines from α, β-unsaturated ketones",,10,47.37%,45.45%
One-pot stereoselective synthesis of anti 3-alkyl and 3-aryl-N-p-tosyl-aziridine-2-ketones and 3-aryl-N-p-tosyl-aziridine-2–carboxylates.,One-pot stereoselective synthesis of anti 3-alkyl and 3-aryl-Np-tosyl-aziridine-2-ketones and 3-aryl-Np-tosyl-aziridine-2-carboxylates,,19,80.00%,80.00%
The First Enantioselective Halo Aldol Reaction of Allenoates and Aldehydes.,The first asymmetric catalytic halo aldol reaction of β-iodo allenoates with aldehydes by using chiral salen catalyst,,31,20.00%,11.76%
Regio- and Stereoselective Synthesis of Vicinal Haloamino Ketones via the Catalytic Aminohalogenation Reaction of Electron Deficient Alkenes.,"Catalytic asymmetric chloroamination reaction of α, β-unsaturated γ-keto esters and chalcones",,101,17.65%,36.36%
A Polymer-Supported Phosphoramide as Lewis Base-Catalyst for Catalytic Aldol Reaction.,A Polymer‐Supported Phosphoramide as a Lewis‐Base Catalyst for the Catalytic Aldol Reaction,RA Flowers,17,60.00%,50.00%
New Asymmetric Halo Aldol Reaction Provides a Novel Approach to Biologically Important Chiral Cyclothers and Cycloamines.,New Asymmetric Halo Aldol Reaction Provides a Novel Approach to Biologically Important Chiral Cyclothers and Cycloamines,,19,93.75%,93.75%
Efficient nucleophilic substitution reactions of highly functionalyzed allyl halides in ionic liquid media.,Efficient nucleophilic substitution reactions of highly functionalized allyl halides in ionic liquid media,,32,84.62%,84.62%
Silver Induced Enhancement of Thiochrome-based Peroxide Measurements.,Silver-induced enhancement of thiochrome-based peroxide measurements,PK Dasgupta,10,14.29%,16.67%
Chemiluminometric Measurement of Atmospheric Ozone with Photoactivated Chromotropic Acid,Chemiluminometric measurement of atmospheric ozone with photoactivated chromotropic acid,T Takayanagi PK Dasgupta,22,33.33%,33.33%
A Novel Catalytic Reaction of Alkynes via Multiple-Site Functionalization,A catalytic reaction of alkynes via multiple-site functionalization,,26,33.33%,37.50%
The Combination of TsNH2 and NCS as Nitrogen and Chlorine Sources for Direct Diamination of Enones.,The combination of TsNH2 and NCS as nitrogen and chlorine sources for direct diamination of enones,,18,56.25%,56.25%
"N,N-Dichloro-2-nitrobenzenesulfonamide (2-NsNCl2) as the electrophilic nitrogen source for direct diamination of enones.","N, N-Dichloro-2-nitrobenzenesulfonamide as the electrophilic nitrogen source for direct diamination of enones",,25,75.00%,75.00%
The Cinnamate-Based Aminohalogenation Provides an Easy Access to anti Methyl 3-Aryl-N-p-tosyl- and N-o-nosyl-aziridine-2-carboxylates.,The cinnamate-based aminohalogenation provides an easy access to anti methyl 3-aryl-Np-tosyl-and No-nosyl-aziridine-2-carboxylates,,11,30.77%,33.33%
"Novel Imidazolination Reaction of Alkenes Provides an Easy Access to New -Diffrentiated 1,2-Vicinal Diamines.","Novel imidazolination reaction of alkenes provides an easy access to new α, β-differentiated 1, 2-vicinal diamines",,27,28.57%,25.00%
Direct Electrophilic Diamination of Functionalized Alkenes without the Use of any Metal Catalysts,Direct electrophilic diamination of functionalized alkenes without the use of any metal catalysts,,57,46.15%,46.15%
Asymmetric synthesis of chiral b-iodo Baylis-Hillman esters using MgI2 as promoter via a one-pot three component reaction.,Asymmetric synthesis of chiral β-iodo Baylis–Hillman esters using MgI 2 as promoter via a one-pot three-component reaction,PW Paré,20,64.71%,64.71%
A Novel Approach to Morita-Baylis-Hillman (MBS) Lactones via the Lewis Acid-Promoted Couplings of -Unsaturated Lactone with Aldehydes.,"A novel approach to Morita–Baylis–Hillman (MBH) lactones via the Lewis acid-promoted couplings of α, β-unsaturated lactone with aldehydes",,17,41.18%,38.89%
Asymmetric Halo Aldol Reaction (AHA).,Asymmetric halo aldol reaction (AHA),,33,20.00%,20.00%
"The First Asymmetric Synthesis of Chiral beta-Iodo Baylis-Hillman Esters via Tandem 1,4-Conjugate Addition/Carbonyl Coupling Reactions.","First asymmetric synthesis of chiral β‐iodo Baylis‐Hillman esters via tandem 1, 4‐conjugate addition/carbonyl coupling reactions",DW Armstrong,8,20.00%,20.00%
Simultaneous Measurement of Primary and Secondary Kinetic Deuterium Isotope Effects by Natural-Abundance 2H-NMR (II),Simultaneous measurement of primary and secondary kinetic deuterium isotope effects by natural abundance 2H NMR I. Inter-as well as intramolecular …,,7,28.57%,20.00%
New bad-data detection and identification technique based on rotation of measurement order for sequential state estimation [for power systems],New bad-data detection and identification technique based on rotation of measurement order for sequential state estimation,,11,84.21%,100.00%
Modelling and state estimation of power plant steam turbines,Modelling and state estimation of power plant steam turbines,,30,100.00%,100.00%
Dislocation density and strain distribution in SrTiO3 film grown on (110) DyScO3 substrate,Dislocation density and strain distribution in SrTiO3 film grown on (1 1 0) DyScO3 substrate,JH Hao,22,92.31%,80.00%
Effects of substrate on the dielectric and tunable properties of epitaxial SrTiO3 thin films,Effects of substrate on the dielectric and tunable properties of epitaxial  thin films,JH Hao Z Luo,19,92.86%,92.86%
Transport and interface properties in ramp-type Josephson junctions with a graded Y1-xPrxBa2Cu3Oy barrier,Transport and interface properties in ramp-type Josephson junctions with a graded Y 1− x Pr x Ba 2 Cu 3 O y barrier,,0,92.31%,52.17%
Magnetoresistance in La- and Ca-doped YBa2Cu3O7–δ,Magnetoresistance in La- and Ca-doped ,,1,83.33%,100.00%
Characterization of surface and interface structure of YBa2Cu3O7-d-based trilayer with La0.67Ca0.33MnO3 spacer,Characterization of surface and interface structure of -based trilayer with  spacer,JS Liu,4,83.33%,83.33%
Strain effect and current-induced electroresistance in epitaxial thin films of La0.9Sr0.1MnO3,Strain effect and current-induced electroresistance in epitaxial thin films of La 0.9 Sr 0.1 MnO 3,,8,90.91%,62.50%
A novel hydrate-based thin-film phosphor: low-temperature growth process and properties,A novel hydrate-based thin-film phosphor: low-temperature growth process and properties,JH Hao,0,100.00%,100.00%
Dissipation of the Bi2.4-xPbxSr2CaCu2O8+y intrinsic array Josephson junctions,DISSIPATION OF THE Bi 2.4-x Pb x Sr 2 CaCu 2 O 8+ y INTRINSIC ARRAY JOSEPHSON JUNCTIONS,,1,0.00%,0.00%
A-site disorder induces magnetoresistance in Y and Sr co-doped La2/3-xYxCa1/3-ySryMnO3,A-site disorder induces magnetoresistance in Y and Sr co-doped La 2/3− x Y x Ca 1/3− y Sr y MnO 3,,18,110.00%,42.86%
Formation of outgrowths at the initial growing stage of YBa2Cu3Ox ultrathin films on ZrO2 substrates,Formation of outgrowths at the initial growing stage of YBa2Cu3O x ultrathin films on ZrO2 substrates,,36,93.33%,87.50%
Origin of the Chinese Historic Waters in the South China Sea,The dotted line on the Chinese map of the South China Sea: A note,,105,54.55%,42.86%
Policing the Sea and the Proportionality Principle,European Union law: cases and materials,G Monti,766,14.29%,16.67%
Vessel Source Pollution and Protection of Marine Environment in The Taiwan Strait Area,Vessel Source Pollution and Protection of the Marine Environment in the Taiwan Strait,,1,84.62%,84.62%
Coastal States’ Right to Control Scientific Research Activities in The EEZ,Introduction,MJ Valencia,315,0.00%,0.00%
EEZ and The Coastal State’s Jurisdiction,Coastal State's Jurisdiction over Foreign Vessels,,25,33.33%,33.33%
A Chinese Perspective on the UNESCO Convention on the Protection of the Underwater Cultural Heritage,A Chinese Perspective on the UNESCO Convention on the Protection of the Underwater Cultural Heritage,,7,100.00%,100.00%
When The Salvaged Property Is An UCH – Relationship Among Three Conventions,10. PREcIs OF RELEVANCE: COMMUNICATION AND COGNITION,D Sperber D Wilson,18713,0.00%,0.00%
Jurisdiction Over Environmental Violations in the Taiwan Strait Area ---A Perspective from Each Side of The Strait,Jurisdiction over Marine Environmental Violations in the Taiwan Strait Area--A Perspective from Each Side of the Strait,,2,82.35%,76.47%
Some Social Approaches for Reaching Equitable Solutions of Ocean Boundary Disputes,Some Special Approaches for Reaching Equitable Solutions of Ocean Boundary Disputes,,0,90.91%,90.91%
Delimitation of the Overlapping EEZs Between Taiwan and the Philippines,China's Nine Dotted Lines in the South China Sea: The 2011 Exchange of Diplomatic Notes Between the Philippines and China,,27,60.00%,30.00%
Inter-relationship between sphingosine kinase and phospholipase D in signaling Arabidopsis response to abscisic acid.,Inter-relationship between sphingosine kinase and phospholipase D in signaling Arabidopsis response to abscisic acid,JE Markham M Li,0,92.86%,92.86%
Direct infusion tandem mass spectral profiling of oxylipin-containing Arabidopsis thaliana phospholipids and galactolipids reveals varied patterns in response to different stressors.,Biosynthesis and analysis of plant oxylipins,,9,9.52%,33.33%
Suppression of phospholipase Dγs confers increased aluminum resistance in Arabidopsis thaliana.,Suppression of phospholipase Dγs confers increased aluminum resistance in Arabidopsis thaliana,R Welti LW Sumner,28,90.91%,90.91%
Patatin-related phospholipase pPLAIIIβ-induced changes in lipid metabolism alter cellulose content and cell elongation in Arabidopsis.,Patatin-related phospholipase pPLAIIIβ-induced changes in lipid metabolism alter cellulose content and cell elongation in Arabidopsis,M Li L Guo,41,93.33%,93.33%
Phosphatidic Acid binds and stimulates Arabidopsis sphingosine kinases.,Phosphatidic acid binds and stimulates Arabidopsis sphingosine kinases,L Guo X Wang,64,75.00%,75.00%
Characterization of the Arabidopsis glycerophosphodiester phosphodiesterase (GDPD) family reveals that a plastid-localized AtGDPD1 is involved in membrane lipid remodeling under phosphate deficiency.,Characterization of the Arabidopsis glycerophosphodiester phosphodiesterase (GDPD) family reveals a role of the plastid‐localized AtGDPD1 in maintaining …,M Li X Wang,45,63.64%,70.59%
"Assaying different types of plant phospholipase D activities in vitro. Heilmann I and Munnik T (eds.),",Assaying different types of plant phospholipase D activities in vitro,KL Pappan X Wang,1,56.25%,90.00%
"Plant Phospholipases, Lipases and phospholipases: Methods and applications, Sandoval G (ed.).",Lipases: an overview,G Sandoval,81,0.00%,0.00%
Non-specific phospholipase C NPC4 promotes response to abscisic acid and tolerance to hyperosmotic stress in Arabidopsis.,Nonspecific phospholipase C NPC4 promotes responses to abscisic acid and tolerance to hyperosmotic stress in Arabidopsis,M Li R Welti,77,81.25%,81.25%
"Patatin-related phospholipase A, subfamilies and functions in plants and animals","Patatin-related phospholipase A: nomenclature, subfamilies and functions in plants",X Wang AR Matos,72,70.00%,88.89%
A liquid chromatography-mass spectrometry method for quantitative analysis of major plant hormones in crude plant extracts.,Quantitative analysis of major plant hormones in crude plant extracts by high-performance liquid chromatography–mass spectrometry,R Welti X Wang,241,62.50%,66.67%
Lipid signaling in plant response to hyperosmotic stress.,[CITATION][C] Lipid signaling in plant response to hyperosmotic stress,,4,87.50%,77.78%
Phospholipase D and phosphatidic acid mediate reactive oxygen species production in abscisic acid-promoted stomatal movements.,Phospholipase D and phosphatidic acid signalling in plant response to drought and salinity,X Wang,112,46.67%,46.15%
Phospholipase Dε and phosphatidic acid enhance Arabidopsis nitrogen signaling and growth.,Phospholipase Dε and phosphatidic acid enhance Arabidopsis nitrogen signaling and growth,SP Devaiah,103,90.91%,90.91%
Phospholipase D- and phosphatidic acid-mediated signaling in plants.,Phospholipase D-and phosphatidic acid-mediated signaling in plants,M Li X Wang,190,62.50%,71.43%
Quantitative profiling of plant hormones by mass spectrometry.,Quantitative analysis of major plant hormones in crude plant extracts by high-performance liquid chromatography–mass spectrometry,R Welti X Wang,241,75.00%,33.33%
Understanding plant lipids,Understanding plant responses to drought—from genes to the whole plant,MM Chaves JP Maroco JS Pereira,2379,100.00%,20.00%
Phospholipase Dα3 is involved in hyperosmotic responses in Arabidopsis.,Phospholipase Dα3 is involved in the hyperosmotic response in Arabidopsis,R Welti X Wang,117,77.78%,70.00%
Differential degradation of extraplastidic and plastidic lipids during freezing and post-freezing recovery in Arabidopsis thaliana.,Differential degradation of extraplastidic and plastidic lipids during freezing and post-freezing recovery in Arabidopsis thaliana,M Li R Welti,113,93.33%,93.33%
Simultaneous quantification of phytohormones and related metabolites in crude plant extracts by liquid chromatography-electrospray tandem mass spectrometry.,Simultaneous quantification of major phytohormones and related compounds in crude plant extracts by liquid chromatography–electrospray tandem mass …,R Welti X Wang,191,76.47%,76.47%
Dual functions of phospholipase Dα1 in plant response to drought.,Dual functions of phospholipase Dα1 in plant response to drought,X Wang,54,90.00%,90.00%
The effect of Phospholipase Dα3 on Arabidopsis response to hyperosmotic stress and glucose.,The effect of phospholipase Dα3 in Arabidopsis response to hyperosmotic stress and glucose,R Welti X Wang,11,76.92%,76.92%
Lipid-mediated signaling.,Lipid‐Mediated Signaling,WF Boss DV Lynch X Wang,14,0.00%,0.00%
AtPLAI is an acyl hydrolase involved in basal jasmonic acid production and Arabidopsis resistance to botrytis cinerea.,AtPLAI is an acyl hydrolase involved in basal jasmonic acid production and Arabidopsis resistance to Botrytis cinerea,SP Devaiah R Welti,91,88.24%,88.24%
Enhancing seed quality and viability by suppressing phospholipase D in Arabidopsis.,Enhancing seed quality and viability by suppressing phospholipase D in Arabidopsis,SP Devaiah R Welti,82,90.91%,90.91%
Phospholipid signaling in plant response to drought and salt stress,Phospholipid signaling in plant response to drought and salt stress,X Wang,6,100.00%,100.00%
Lipid profiling: Analysis of gene function and physiological responses in Arabidopsis.,"Monitoring the expression profiles of 7000 Arabidopsis genes under drought, cold and high‐salinity stresses using a full‐length cDNA microarray",,1887,18.18%,10.53%
Plant lipidomics: discerning biological function by profiling plant complex lipids using mass spectrometry.,Plant lipidomics: discerning biological function by profiling plant complex lipids using mass spectrometry,R Welti J Shah WQ Li,82,92.31%,92.31%
Rapid characterization of fatty acyl composition of complex lipids by collision-induced dissociation time-of-flight mass spectrometry.,Rapid characterization of the fatty acyl composition of complex lipids by collision-induced dissociation time-of-flight mass spectrometry,,20,93.33%,87.50%
Lipidomics: ESI-MS/MS-based profiling to determine the function of genes involved in metabolism of complex lipids,Lipidomics: ESI-MS/MS-based profiling to determine the function of genes involved in metabolism of complex lipids,R Welti J Shah X Wang,5,100.00%,100.00%
Quantitative profiling of Arabidopsis polar glycerolipids in response to phosphorus starvation. Roles of phospholipases D zeta1 and D zeta2 in phosphatidylcholine hydrolysis and digalactosyldiacylglycerol accumulation in phosphorus-starved plants.,Quantitative profiling of Arabidopsis polar glycerolipids in response to phosphorus starvation. Roles of phospholipases Dζ1 and Dζ2 in phosphatidylcholine hydrolysis …,M Li R Welti X Wang,156,60.71%,95.00%
Expression and characterization of Arabidopsis phospholipase Dgamma2.,Expression and characterization of Arabidopsis phospholipase Dγ2,M Li W Qin,28,85.71%,85.71%
Lipid Profiling to quantitatively display polar glycerolipid species and the role of phospholipase Dα1 in the species in Arabidopsis tissues.,Quantitative profiling of polar glycerolipid species from organs of wild-type Arabidopsis and a PHOSPHOLIPASE Dα1 knockout mutant,SP Devaiah M Li,192,40.00%,47.06%
Suppression of phospholipase Dalpha1 induces freezing tolerance in Arabidopsis: response of cold-responsive genes and osmolyte accumulation.,Suppression of phospholipase Dα1 induces freezing tolerance in Arabidopsis: response of cold-responsive genes and osmolyte accumulation,,50,87.50%,87.50%
Using unnatural protein fusions to engineer resveratrol biosynthesis in yeast and Mammalian cells.,Using unnatural protein fusions to engineer resveratrol biosynthesis in yeast and mammalian cells,,138,84.62%,84.62%
A bifurcating pathway directs abscisic acid effects on stomatal closure and opening in Arabidopsis.,A bifurcating pathway directs abscisic acid effects on stomatal closure and opening in Arabidopsis,X Wang,345,92.86%,92.86%
"Double knockouts of phospholipase Dζ1 and ζ2 in Arabidopsis affect root elongation during phosphate-limited growth, but do not affect root hair patterning",Quantitative profiling of Arabidopsis polar glycerolipids in response to phosphorus starvation. Roles of phospholipases Dζ1 and Dζ2 in phosphatidylcholine hydrolysis …,M Li R Welti X Wang,156,31.82%,25.00%
Signaling functions of phosphatidic acid.,Signaling functions of phosphatidic acid,X Wang SP Devaiah R Welti,478,80.00%,80.00%
Profiling lipid changes in plant response to low temperatures.,Profiling lipid changes in plant response to low temperatures,X Wang M Li R Welti,94,88.89%,88.89%
Phospholipid-derived signaling in plant response to temperature and water stresses.,Phospholipid-derived signaling in plant response to temperature and water stresses,X Wang,4,90.00%,90.00%
Phospholipase D in the signaling network of plant responses to abscisic acid and reactive oxygen species,Phospholipase D in the signaling networks of plant response to abscisic acid and reactive oxygen species,X Wang,88,87.50%,87.50%
"Regulatory functions of phospholipase D and phosphatidic acid in plant growth development, and stress responses.","Regulatory functions of phospholipase D and phosphatidic acid in plant growth, development, and stress responses",X Wang,267,86.67%,86.67%
