line,title,author,cited_num,relate,reverse_relate
Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,H Lu X Liu Y Gong L Wang D Mao,46,100.00%,100.00%
Perfect absorber supported by optical Tamm states in plasmonic waveguide,Perfect absorber supported by optical Tamm states in plasmonic waveguide,Y Gong X Liu H Lu L Wang G Wang,50,100.00%,100.00%
Theoretical study for thermal/electric field poling of fused silica,Theoretical study for thermal/electric field poling of fused silica,XM Liu,27,100.00%,100.00%
Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,H Lu X Liu Y Gong D Mao G Wang,35,100.00%,100.00%
Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,H Lu X Liu Y Gong D Mao L Wang,28,100.00%,100.00%
Reactions and phase relations in the TiAlO system,Reactions and phase relations in the TiAlO system,XL Li,117,100.00%,100.00%
Rearrangements in the second intron of the RARA gene are present in a large majority of patients with acute promyelocytic leukemia and are used as molecular marker for retinoic acid-induced leukemic cell differentiation,Rearrangements in the second intron of the RARA gene are present in a large majority of patients with acute promyelocytic leukemia and are used as molecular …,SJ Chen,67,75.76%,96.15%
An effective method for two-point boundary value problems in Raman amplifier propagation equations,An effective method for two-point boundary value problems in Raman amplifier propagation equations,X Liu,21,100.00%,100.00%
Versatile multi-wavelength ultrafast fiber laser mode-locked by carbon nanotubes,Versatile multi-wavelength ultrafast fiber laser mode-locked by carbon nanotubes,X Liu D Han Z Sun C Zeng H Lu D Mao,189,100.00%,100.00%
Graphene and nanotube mode-locked fiber laser emitting dissipative and conventional solitons,Graphene and nanotube mode-locked fiber laser emitting dissipative and conventional solitons,X Liu,102,100.00%,100.00%
Bidirectional fiber soliton laser mode-locked by single-wall carbon nanotubes,Bidirectional fiber soliton laser mode-locked by single-wall carbon nanotubes,C Zeng X Liu L Yun,60,100.00%,100.00%
Flexible high-repetition-rate ultrafast fiber laser,Flexible high-repetition-rate ultrafast fiber laser,D Mao X Liu Z Sun H Lu D Han G Wang,76,100.00%,100.00%
Compact all-fiber laser delivering conventional and dissipative solitons,Compact all-fiber laser delivering conventional and dissipative solitons,D Mao X Liu D Han H Lu,42,100.00%,100.00%
Experimental observation of dissipative soliton resonance in an anomalous-dispersion fiber laser,Experimental observation of dissipative soliton resonance in an anomalous-dispersion fiber laser,X Liu D Mao L Wang G Wang,127,100.00%,100.00%
Dispersionless slow light in MIM waveguide based on a plasmonic analogue of electromagnetically induced transparency,Dispersionless slow light in MIM waveguide based on a plasmonic analogue of electromagnetically induced transparency,G Wang H Lu X Liu,96,100.00%,100.00%
Trapping of surface plasmon waves in graded grating waveguide system,Trapping of surface plasmon waves in graded grating waveguide system,G Wang H Lu X Liu,67,100.00%,100.00%
Plasmonic analog of electromagnetically induced transparency in multi-nanoresonator-coupled waveguide systems,Plasmonic analog of electromagnetically induced transparency in multi-nanoresonator-coupled waveguide systems,H Lu X Liu D Mao,142,100.00%,100.00%
Plasmonic nanosensor based on Fano resonance in waveguide-coupled resonators,Plasmonic nanosensor based on Fano resonance in waveguide-coupled resonators,H Lu X Liu D Mao G Wang,163,100.00%,100.00%
Observation of pulse trapping in a near-zero dispersion regime,Observation of pulse trapping in a near-zero dispersion regime,D Mao X Liu H Lu,69,100.00%,100.00%
Tunable high-channel-count bandpass plasmonic filters based on an analogue of electromagnetically induced transparency,Tunable high-channel-count bandpass plasmonic filters based on an analogue of electromagnetically induced transparency,H Lu X Liu G Wang D Mao,79,100.00%,100.00%
Observation of dual-wavelength dissipative solitons in a figure-eight erbium-doped fiber laser,Observation of dual-wavelength dissipative solitons in a figure-eight erbium-doped fiber laser,L Yun X Liu D Mao,72,100.00%,100.00%
Generation and propagation of bound-state pulses in a passively mode-locked figure-eight laser,Generation and propagation of bound-state pulses in a passively mode-locked figure-eight laser,L Yun X Liu,63,100.00%,100.00%
Numerical investigation of an all-optical switch in a graded nonlinear plasmonic grating,Numerical investigation of an all-optical switch in a graded nonlinear plasmonic grating,G Wang H Lu X Liu Y Gong,28,100.00%,100.00%
Sideband-controllable mode-locking fiber laser based on chirped fiber Bragg gratings,Sideband-controllable mode-locking fiber laser based on chirped fiber Bragg gratings,D Han X Liu,40,100.00%,100.00%
Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,X Liu,86,100.00%,100.00%
Interaction and motion of solitons in passively-mode-locked fiber lasers,Interaction and motion of solitons in passively-mode-locked fiber lasers,X Liu,73,100.00%,100.00%
Tunable multi-channel wavelength demultiplexer based on MIM plasmonic nanodisk resonators at telecommunication regime,Tunable multi-channel wavelength demultiplexer based on MIM plasmonic nanodisk resonators at telecommunication regime,G Wang H Lu X Liu D Mao,158,100.00%,100.00%
Partially polarized wave-breaking-free dissipative soliton with super-broad spectrum in a mode-locked fiber laser,Partially polarized wave-breaking-free dissipative soliton with super-broad spectrum in a mode-locked fiber laser,D Mao XM Liu H Lu,99,100.00%,100.00%
Ultrafast all-optical switching in nanoplasmonic waveguide with Kerr nonlinear resonator,Ultrafast all-optical switching in nanoplasmonic waveguide with Kerr nonlinear resonator,H Lu X Liu Y Gong D Mao,170,100.00%,100.00%
Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,X Liu,86,100.00%,100.00%
Ultra-broadband high-energy pulse generation and evolution in a compact erbium-doped all-fiber laser,Ultra-broadband high-energy pulse generation and evolution in a compact erbium-doped all-fiber laser,XM Liu YK Gong D Mao,72,100.00%,100.00%
Interaction and motion of solitons in passively-mode-locked fiber lasers,Interaction and motion of solitons in passively-mode-locked fiber lasers,X Liu,73,100.00%,100.00%
Induced transparency in nanoscale plasmonic resonator systems,Induced transparency in nanoscale plasmonic resonator systems,H Lu X Liu D Mao Y Gong G Wang,126,100.00%,100.00%
Enhancement of transmission efficiency of nanoplasmonic wavelength demultiplexer based on channel drop filters and reflection nanocavities,Enhancement of transmission efficiency of nanoplasmonic wavelength demultiplexer based on channel drop filters and reflection nanocavities,H Lu X Liu Y Gong D Mao,85,100.00%,100.00%
Observations of four types of pulses in a fiber laser with large net-normal dispersion,Observations of four types of pulses in a fiber laser with large net-normal dispersion,X Liu Y Gong D Mao,65,100.00%,100.00%
Highly flexible all-optical metamaterial absorption switching assisted by Kerr-nonlinear effect,Highly flexible all-optical metamaterial absorption switching assisted by Kerr-nonlinear effect,Y Gong J Fu Y Chen G Wang H Lu,59,100.00%,100.00%
Optical bistability in metal-insulator-metal plasmonic waveguide with nanodisk resonator containing Kerr nonlinear medium,Optical bistability in metal-insulator-metal plasmonic waveguide with nanodisk resonator containing Kerr nonlinear medium,G Wang H Lu X Liu Y Gong L Wang,35,100.00%,100.00%
Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,H Lu X Liu Y Gong L Wang D Mao,46,100.00%,100.00%
Perfect absorber supported by optical Tamm states in plasmonic waveguide,Perfect absorber supported by optical Tamm states in plasmonic waveguide,Y Gong X Liu H Lu L Wang G Wang,50,100.00%,100.00%
Theoretical study for thermal/electric field poling of fused silica,Theoretical study for thermal/electric field poling of fused silica,XM Liu,27,100.00%,100.00%
Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,H Lu X Liu Y Gong D Mao G Wang,35,100.00%,100.00%
Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,H Lu X Liu Y Gong D Mao L Wang,28,100.00%,100.00%
Reactions and phase relations in the TiAlO system,Reactions and phase relations in the TiAlO system,XL Li,117,100.00%,100.00%
Rearrangements in the second intron of the RARA gene are present in a large majority of patients with acute promyelocytic leukemia and are used as molecular marker for retinoic acid-induced leukemic cell differentiation,Rearrangements in the second intron of the RARA gene are present in a large majority of patients with acute promyelocytic leukemia and are used as molecular …,SJ Chen,67,75.76%,96.15%
An effective method for two-point boundary value problems in Raman amplifier propagation equations,An effective method for two-point boundary value problems in Raman amplifier propagation equations,X Liu,21,100.00%,100.00%
Versatile multi-wavelength ultrafast fiber laser mode-locked by carbon nanotubes,Versatile multi-wavelength ultrafast fiber laser mode-locked by carbon nanotubes,X Liu D Han Z Sun C Zeng H Lu D Mao,189,100.00%,100.00%
Graphene and nanotube mode-locked fiber laser emitting dissipative and conventional solitons,Graphene and nanotube mode-locked fiber laser emitting dissipative and conventional solitons,X Liu,102,100.00%,100.00%
Bidirectional fiber soliton laser mode-locked by single-wall carbon nanotubes,Bidirectional fiber soliton laser mode-locked by single-wall carbon nanotubes,C Zeng X Liu L Yun,60,100.00%,100.00%
Flexible high-repetition-rate ultrafast fiber laser,Flexible high-repetition-rate ultrafast fiber laser,D Mao X Liu Z Sun H Lu D Han G Wang,76,100.00%,100.00%
Compact all-fiber laser delivering conventional and dissipative solitons,Compact all-fiber laser delivering conventional and dissipative solitons,D Mao X Liu D Han H Lu,42,100.00%,100.00%
Experimental observation of dissipative soliton resonance in an anomalous-dispersion fiber laser,Experimental observation of dissipative soliton resonance in an anomalous-dispersion fiber laser,X Liu D Mao L Wang G Wang,127,100.00%,100.00%
Dispersionless slow light in MIM waveguide based on a plasmonic analogue of electromagnetically induced transparency,Dispersionless slow light in MIM waveguide based on a plasmonic analogue of electromagnetically induced transparency,G Wang H Lu X Liu,96,100.00%,100.00%
Trapping of surface plasmon waves in graded grating waveguide system,Trapping of surface plasmon waves in graded grating waveguide system,G Wang H Lu X Liu,67,100.00%,100.00%
Plasmonic analog of electromagnetically induced transparency in multi-nanoresonator-coupled waveguide systems,Plasmonic analog of electromagnetically induced transparency in multi-nanoresonator-coupled waveguide systems,H Lu X Liu D Mao,142,100.00%,100.00%
Plasmonic nanosensor based on Fano resonance in waveguide-coupled resonators,Plasmonic nanosensor based on Fano resonance in waveguide-coupled resonators,H Lu X Liu D Mao G Wang,163,100.00%,100.00%
Observation of pulse trapping in a near-zero dispersion regime,Observation of pulse trapping in a near-zero dispersion regime,D Mao X Liu H Lu,69,100.00%,100.00%
Tunable high-channel-count bandpass plasmonic filters based on an analogue of electromagnetically induced transparency,Tunable high-channel-count bandpass plasmonic filters based on an analogue of electromagnetically induced transparency,H Lu X Liu G Wang D Mao,79,100.00%,100.00%
Observation of dual-wavelength dissipative solitons in a figure-eight erbium-doped fiber laser,Observation of dual-wavelength dissipative solitons in a figure-eight erbium-doped fiber laser,L Yun X Liu D Mao,72,100.00%,100.00%
Generation and propagation of bound-state pulses in a passively mode-locked figure-eight laser,Generation and propagation of bound-state pulses in a passively mode-locked figure-eight laser,L Yun X Liu,63,100.00%,100.00%
Numerical investigation of an all-optical switch in a graded nonlinear plasmonic grating,Numerical investigation of an all-optical switch in a graded nonlinear plasmonic grating,G Wang H Lu X Liu Y Gong,28,100.00%,100.00%
Sideband-controllable mode-locking fiber laser based on chirped fiber Bragg gratings,Sideband-controllable mode-locking fiber laser based on chirped fiber Bragg gratings,D Han X Liu,40,100.00%,100.00%
Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,X Liu,86,100.00%,100.00%
Interaction and motion of solitons in passively-mode-locked fiber lasers,Interaction and motion of solitons in passively-mode-locked fiber lasers,X Liu,73,100.00%,100.00%
Tunable multi-channel wavelength demultiplexer based on MIM plasmonic nanodisk resonators at telecommunication regime,Tunable multi-channel wavelength demultiplexer based on MIM plasmonic nanodisk resonators at telecommunication regime,G Wang H Lu X Liu D Mao,158,100.00%,100.00%
Partially polarized wave-breaking-free dissipative soliton with super-broad spectrum in a mode-locked fiber laser,Partially polarized wave-breaking-free dissipative soliton with super-broad spectrum in a mode-locked fiber laser,D Mao XM Liu H Lu,99,100.00%,100.00%
Ultrafast all-optical switching in nanoplasmonic waveguide with Kerr nonlinear resonator,Ultrafast all-optical switching in nanoplasmonic waveguide with Kerr nonlinear resonator,H Lu X Liu Y Gong D Mao,170,100.00%,100.00%
Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,Soliton formation and evolution in passively-mode-locked lasers with ultralong anomalous-dispersion fibers,X Liu,86,100.00%,100.00%
Ultra-broadband high-energy pulse generation and evolution in a compact erbium-doped all-fiber laser,Ultra-broadband high-energy pulse generation and evolution in a compact erbium-doped all-fiber laser,XM Liu YK Gong D Mao,72,100.00%,100.00%
Interaction and motion of solitons in passively-mode-locked fiber lasers,Interaction and motion of solitons in passively-mode-locked fiber lasers,X Liu,73,100.00%,100.00%
Induced transparency in nanoscale plasmonic resonator systems,Induced transparency in nanoscale plasmonic resonator systems,H Lu X Liu D Mao Y Gong G Wang,126,100.00%,100.00%
Enhancement of transmission efficiency of nanoplasmonic wavelength demultiplexer based on channel drop filters and reflection nanocavities,Enhancement of transmission efficiency of nanoplasmonic wavelength demultiplexer based on channel drop filters and reflection nanocavities,H Lu X Liu Y Gong D Mao,85,100.00%,100.00%
Observations of four types of pulses in a fiber laser with large net-normal dispersion,Observations of four types of pulses in a fiber laser with large net-normal dispersion,X Liu Y Gong D Mao,65,100.00%,100.00%
Highly flexible all-optical metamaterial absorption switching assisted by Kerr-nonlinear effect,Highly flexible all-optical metamaterial absorption switching assisted by Kerr-nonlinear effect,Y Gong J Fu Y Chen G Wang H Lu,59,100.00%,100.00%
Optical bistability in metal-insulator-metal plasmonic waveguide with nanodisk resonator containing Kerr nonlinear medium,Optical bistability in metal-insulator-metal plasmonic waveguide with nanodisk resonator containing Kerr nonlinear medium,G Wang H Lu X Liu Y Gong L Wang,35,100.00%,100.00%
Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,Multi-channel plasmonic waveguide filters with disk-shaped nanocavities,H Lu X Liu Y Gong L Wang D Mao,46,100.00%,100.00%
Perfect absorber supported by optical Tamm states in plasmonic waveguide,Perfect absorber supported by optical Tamm states in plasmonic waveguide,Y Gong X Liu H Lu L Wang G Wang,50,100.00%,100.00%
Theoretical study for thermal/electric field poling of fused silica,Theoretical study for thermal/electric field poling of fused silica,XM Liu,27,100.00%,100.00%
Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,Analysis of nanoplasmonic wavelength demultiplexing based on metal-insulator-metal waveguides,H Lu X Liu Y Gong D Mao G Wang,35,100.00%,100.00%
Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,Optical bistability in metal–insulator–metal plasmonic Bragg waveguides with Kerr nonlinear defects,H Lu X Liu Y Gong D Mao L Wang,28,100.00%,100.00%
Coexistence of strong and weak pulses in a fiber laser with largely anomalous dispersion,Coexistence of strong and weak pulses in a fiber laser with largely anomalous dispersion,X Liu,34,100.00%,100.00%
Dual-wavelength step-like pulses in an ultra-large negative-dispersion fiber laser,Dual-wavelength step-like pulses in an ultra-large negative-dispersion fiber laser,D Mao X Liu L Wang H Lu,31,100.00%,100.00%
Nanoplasmonic triple-wavelength demultiplexers in two-dimensional metallic waveguides,Nanoplasmonic triple-wavelength demultiplexers in two-dimensional metallic waveguides,H Lu XM Liu D Mao YK Gong,26,100.00%,100.00%
Multiple responses of TPP-assisted near-perfect absorption in metal/Fibonacci quasiperiodic photonic crystal,Multiple responses of TPP-assisted near-perfect absorption in metal/Fibonacci quasiperiodic photonic crystal,Y Gong X Liu L Wang H Lu G Wang,27,100.00%,100.00%
Unidirectional manipulation of surface plasmon polariton by dual-nanocavity in a T-shaped waveguide,Unidirectional manipulation of surface plasmon polariton by dual-nanocavity in a T-shaped waveguide,Y Gong X Liu L Wang,23,100.00%,100.00%
Pulse evolution without wave breaking in a strongly dissipative-dispersive laser system,Pulse evolution without wave breaking in a strongly dissipative-dispersive laser system,X Liu,124,100.00%,100.00%
Hysteresis phenomena and multipulse formation of a dissipative system in a passively mode-locked fiber laser,Hysteresis phenomena and multipulse formation of a dissipative system in a passively mode-locked fiber laser,X Liu,173,100.00%,100.00%
Mechanism of high-energy pulse generation without wave breaking in mode-locked fiber lasers,Mechanism of high-energy pulse generation without wave breaking in mode-locked fiber lasers,X Liu,83,100.00%,100.00%
Tunable band-pass plasmonic waveguide filters with nanodisk resonators,Tunable band-pass plasmonic waveguide filters with nanodisk resonators,H Lu X Liu D Mao Y Gong,190,100.00%,100.00%
Hysteresis phenomena and multipulse formation of a dissipative system in a passively mode-locked fiber laser,Hysteresis phenomena and multipulse formation of a dissipative system in a passively mode-locked fiber laser,X Liu,173,100.00%,100.00%
Pulse evolution without wave breaking in a strongly dissipative-dispersive laser system,Pulse evolution without wave breaking in a strongly dissipative-dispersive laser system,X Liu,124,100.00%,100.00%
Long-cavity passively mode-locked fiber ring laser with high-energy rectangular-shape pulses in anomalous dispersion regime,Long-cavity passively mode-locked fiber ring laser with high-energy rectangular-shape pulses in anomalous dispersion regime,X Li X Liu H Lu Y Wang,117,100.00%,100.00%
Giant-chirp oscillator for ultra-large net-normal-dispersion fiber lasers,Giant-chirp oscillator for ultra-large net-normal-dispersion fiber lasers,XM Liu YK Gong,107,100.00%,100.00%
Mechanism of high-energy pulse generation without wave breaking in mode-locked fiber lasers,Mechanism of high-energy pulse generation without wave breaking in mode-locked fiber lasers,X Liu,83,100.00%,100.00%
Dynamic evolution of temporal dissipative-soliton molecules in large normal path-averaged dispersion fiber lasers,Dynamic evolution of temporal dissipative-soliton molecules in large normal path-averaged dispersion fiber lasers,X Liu,74,100.00%,100.00%
A novel erbium/ytterbium co-doped distributed feedback fiber laser with single-polarization and unidirectional output,A novel erbium/ytterbium co-doped distributed feedback fiber laser with single-polarization and unidirectional output,XH Li XM Liu YK Gong,78,100.00%,100.00%
Broadly tunable dual-wavelength erbium-doped ring fiber laser based on a high-birefringence fiber loop mirror,Broadly tunable dual-wavelength erbium-doped ring fiber laser based on a high-birefringence fiber loop mirror,XM Liu YK Gong XH Li,76,100.00%,100.00%
Compact all-fiber high-energy fiber laser with sub-300-fs duration,Compact all-fiber high-energy fiber laser with sub-300-fs duration,XM Liu D Mao,65,100.00%,100.00%
High-channel-count plasmonic filter with the metal–insulator–metal Fibonacci-sequence gratings,High-channel-count plasmonic filter with the metal–insulator–metal Fibonacci-sequence gratings,Y Gong X Liu,58,100.00%,100.00%
Generation and amplification of high-energy nanosecond pulses in a compact all-fiber laser,Generation and amplification of high-energy nanosecond pulses in a compact all-fiber laser,D Mao X Liu H Lu,66,100.00%,100.00%
Broad and tunable multiwavelength fiber laser at the assistance of modulation-instability-assisted four-wave mixing,Broad and tunable multiwavelength fiber laser at the assistance of modulation-instability-assisted four-wave mixing,XM Liu,61,100.00%,100.00%
Spacing-tunable multi-wavelength fiber laser based on cascaded four-wave mixing in highly nonlinear photonic-crystal fiber,Spacing-tunable multi-wavelength fiber laser based on cascaded four-wave mixing in highly nonlinear photonic-crystal fiber,XM Liu XH Li D Mao,22,100.00%,100.00%
Evolution of dual-wavelength solitons in an erbium-doped fiber laser,Evolution of dual-wavelength solitons in an erbium-doped fiber laser,D Mao XM Liu XH Li H Lu,17,100.00%,100.00%
Broad-bandgap and low-sidelobe surface plasmon polariton reflector with Bragg-grating-based MIM waveguide,Broad-bandgap and low-sidelobe surface plasmon polariton reflector with Bragg-grating-based MIM waveguide,Y Gong X Li X Liu,89,100.00%,100.00%
Numerical and experimental investigation of dissipative solitons in passively mode-locked fiber lasers with large net-normal-dispersion and high nonlinearity,Numerical and experimental investigation of dissipative solitons in passively mode-locked fiber lasers with large net-normal-dispersion and high nonlinearity,X Liu,93,100.00%,100.00%
Multistability evolution and hysteresis phenomena of dissipative solitons in a passively mode-locked fiber laser with large normal cavity dispersion,Multistability evolution and hysteresis phenomena of dissipative solitons in a passively mode-locked fiber laser with large normal cavity dispersion,X Liu X Li Y Wang,70,100.00%,100.00%
All-optical switching application of germano-silicate optical fiber incorporated with Ag nanocrystals,All-optical switching application of germano-silicate optical fiber incorporated with Ag nanocrystals,X Liu,17,100.00%,100.00%
Optimal design of multichannel fiber Bragg grating filters with small dispersion and low index modulation,Optimal design of multichannel fiber Bragg grating filters with small dispersion and low index modulation,Y Gong X Liu L Wang,15,100.00%,100.00%
Tunable and switchable multi-wavelength erbium-doped fiber laser with highly nonlinear photonic crystal fiber and polarization controllers,Tunable and switchable multi-wavelength erbium-doped fiber laser with highly nonlinear photonic crystal fiber and polarization controllers,XM Liu,108,100.00%,100.00%
Theory and experiments for multiple four-wave-mixing processes with multifrequency pumps in optical fibers,Theory and experiments for multiple four-wave-mixing processes with multifrequency pumps in optical fibers,XM Liu,77,100.00%,100.00%
Passively harmonic mode-locked erbium-doped fiber soliton laser with a nonlinear polarization rotation,Passively harmonic mode-locked erbium-doped fiber soliton laser with a nonlinear polarization rotation,XM Liu C Shu,71,100.00%,100.00%
Experimental research of supercontinuum generation by femtosecond pulse in highly nonlinear photonic crystal fiber,Experimental research of supercontinuum generation by femtosecond pulse in highly nonlinear photonic crystal fiber,XM Liu,14,100.00%,100.00%
Tunable dual-wavelength fiber laser based on a single fiber Bragg grating in a Sagnac loop interferometer,Tunable dual-wavelength fiber laser based on a single fiber Bragg grating in a Sagnac loop interferometer,X Liu,32,100.00%,100.00%
Temporal behavior of dark spatial solitons in closed-circuit photovoltaic media,Temporal behavior of dark spatial solitons in closed-circuit photovoltaic media,L Zhang Y Zhang X Liu,17,100.00%,100.00%
Ag nanocrystal-incorporated germano-silicate optical fiber with high resonant nonlinearity,Ag nanocrystal-incorporated germano-silicate optical fiber with high resonant nonlinearity,X Liu,22,100.00%,100.00%
Tunable ultranarrow dual-channel filter based on sampled FBGs,Tunable ultranarrow dual-channel filter based on sampled FBGs,XM Liu,18,100.00%,100.00%
Temporal development of open-circuit bright photovoltaic solitons,Temporal development of open-circuit bright photovoltaic solitons,,16,100.00%,100.00%
A novel dual-wavelength DFB fiber laser based on symmetrical FBG structure,A novel dual-wavelength DFB fiber laser based on symmetrical FBG structure,X Liu,73,100.00%,100.00%
Identical dual-wavelength fiber Bragg gratings,Identical dual-wavelength fiber Bragg gratings,X Liu Y Gong,27,100.00%,100.00%
Nonlinear optical properties of semiconductor quantum wells under intense terahertz radiation,Nonlinear optical properties of semiconductor quantum wells under intense terahertz radiation,XM Liu,23,100.00%,100.00%
Four-wave mixing self-stability based on photonic crystal fiber and its applications on erbium-doped fiber lasers,Four-wave mixing self-stability based on photonic crystal fiber and its applications on erbium-doped fiber lasers,XM Liu,26,100.00%,100.00%
Design of multistage gain-flattened fiber Raman amplifiers,Design of multistage gain-flattened fiber Raman amplifiers,J Chen X Liu C Lu Z Li,24,100.00%,100.00%
Stable and uniform dual-wavelength erbium-doped fiber laser based on fiber Bragg gratings and photonic crystal fiber,Stable and uniform dual-wavelength erbium-doped fiber laser based on fiber Bragg gratings and photonic crystal fiber,X Liu C Lu,231,100.00%,100.00%
Switchable and tunable multiwavelength erbium-doped fiber laser with fiber Bragg gratings and photonic crystal fiber,Switchable and tunable multiwavelength erbium-doped fiber laser with fiber Bragg gratings and photonic crystal fiber,X Liu,165,100.00%,100.00%
Self-stabilizing effect of four-wave mixing and its applications on multiwavelength erbium-doped fiber lasers,Self-stabilizing effect of four-wave mixing and its applications on multiwavelength erbium-doped fiber lasers,X Liu C Lu,84,100.00%,100.00%
Multiple four-wave mixing self-stability in optical fibers,Multiple four-wave mixing self-stability in optical fibers,X Liu C Lu,69,100.00%,100.00%
"Four-wave mixing assisted stability enhancement: theory, experiment, and application","Four-wave mixing assisted stability enhancement: theory, experiment, and application",X Liu X Zhou,71,100.00%,100.00%
Optimal design of fiber Raman amplifier based on hybrid genetic algorithm,Optimal design of fiber Raman amplifier based on hybrid genetic algorithm,X Liu B Lee,36,100.00%,100.00%
Optimizing the bandwidth and noise performance of distributed multi-pump Raman amplifiers,Optimizing the bandwidth and noise performance of distributed multi-pump Raman amplifiers,X Liu,30,100.00%,100.00%
Optimizing gain profile and noise performance for distributed fiber Raman amplifiers,Optimizing gain profile and noise performance for distributed fiber Raman amplifiers,X Liu J Chen C Lu,32,100.00%,100.00%
Efficient algorithm and optimization for broadband Raman amplifiers,Efficient algorithm and optimization for broadband Raman amplifiers,X Liu,20,100.00%,100.00%
Optimal Bandwidth for Distributed Multi-Pump Raman Amplifier Based on Hybrid Genetic Algorithm,Optimal bandwidth for distributed multi-pump Raman amplifier based on Hybrid genetic algorithm,,12,41.67%,41.67%
A fast and stable method for Raman amplifier propagation equations,A fast and stable method for Raman amplifier propagation equations,X Liu B Lee,73,100.00%,100.00%
Effective shooting algorithm and its application to fiber amplifiers,Effective shooting algorithm and its application to fiber amplifiers,X Liu B Lee,62,100.00%,100.00%
A fast method for nonlinear Schrodinger equation,A fast method for nonlinear Schrodinger equation,X Liu B Lee,52,100.00%,100.00%
A novel method for Raman amplifier propagation equations,A novel method for Raman amplifier propagation equations,X Liu H Zhang,47,100.00%,100.00%
Optimal design for ultra-broad-band amplifier,Optimal design for ultra-broad-band amplifier,X Liu B Lee,52,100.00%,100.00%
Optimal design of DFG-based wavelength conversion based on hybrid genetic algorithm,Optimal design of DFG-based wavelength conversion based on hybrid genetic algorithm,X Liu,15,100.00%,100.00%
Optimal design and applications for quasi-phase-matching three-wave mixing,Optimal design and applications for quasi-phase-matching three-wave mixing,X Liu H Zhang,33,100.00%,100.00%
The impact of phase errors on arrayed waveguide gratings,The impact of phase errors on arrayed waveguide gratings,X Liu,26,100.00%,100.00%
Exact analytical solutions and their applications for interacting waves in quadratic nonlinear medium,Exact analytical solutions and their applications for interacting waves in quadratic nonlinear medium,X Liu H Zhang,26,100.00%,100.00%
Theoretical analyses and optimizations for wavelength conversion by quasi-phase-matching difference frequency generation,Theoretical analyses and optimizations for wavelength conversion by quasi-phase-matching difference frequency generation,X Liu H Zhang,39,100.00%,100.00%
A New Kind of Underwater Laser Imaging System,[CITATION][C] A new kind of underwater laser imaging system,L Xueming,1,25.00%,22.22%
Analysis of main parameters for synchronous scanning underwater laser imaging system,[CITATION][C] Analysis of main parameters for synchronous scanning underwater laser imaging system,L Xueming,8,100.00%,91.67%
Characterizing AGB stars in Wide-field Infrared Survey Explorer (WISE) bands,Characterizing AGB stars in Wide-field Infrared Survey Explorer (WISE) bands,X Kong,4,100.00%,100.00%
Structure and Morphology of X-Ray-selected Active Galactic Nucleus Hosts at 1 < z < 3 in the CANDELS-COSMOS Field,Structure and Morphology of X-Ray-selected Active Galactic Nucleus Hosts at 1< z< 3 in the CANDELS-COSMOS Field,L Fan,9,78.95%,88.24%
The Properties of H{alpha} Emission-Line Galaxies at $z$ = 2.24,The properties of Hα emission-line galaxies at z= 2.24,,17,40.00%,44.44%
Selection and Mid-infrared Spectroscopy of Ultraluminous Star-forming Galaxies at z ~ 2,Selection and mid-infrared spectroscopy of ultraluminous star-forming galaxies at z∼ 2,X Kong,8,41.67%,45.45%
Artificial neural network to search for metal-poor galaxies,Artificial neural network to search for metal-poor galaxies,F Shi X Kong Y Chen,3,100.00%,100.00%
Star Formation Rate Indicators in WISE/SDSS,Star Formation Rate Indicators in WISE/SDSS,F Shi,0,100.00%,100.00%
The Narrow X-Ray Tail and Double Hα Tails of ESO 137-002 in A3627,THE NARROW X-RAY TAIL AND DOUBLE Hα TAILS OF ESO 137-002 IN A3627,M Sun,21,30.77%,30.77%
Green Galaxies in the COSMOS Field,Green galaxies in the COSMOS field,X Kong L Fan,11,66.67%,66.67%
