A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
"Increased expression of MDM2, cyclin D1, and p27Kip1 in carcinogen-induced rat mammary tumors.","Increased expression of MDM2, cyclin D1, and p27Kip1 in carcinogen‐induced rat mammary tumors",SA Murray,30,84.62%,84.62%
DNA-binding and transactivation activities are essential for TAp63 protein degradation.,DNA-binding and transactivation activities are essential for TAp63 protein degradation,DLF Chang,61,90.00%,90.00%
The central acidic domain of MDM2 is critical in inhibition of retinoblastoma-mediated suppression of E2F and cell growth.,The central acidic domain of MDM2 is critical in inhibition of retinoblastoma-mediated suppression of E2F and cell growth,,75,94.44%,94.44%
The MDM2 RING finger is required for cell cycle-dependent regulation of its protein expression.,The MDM2 RING finger is required for cell cycle‐dependent regulation of its protein expression,SA Murray,20,85.71%,85.71%
[Transcriptional inactivation of RASSF1A in lung cancer and its clinical significance].,Transcriptional inactivation of RASSF1A in lung cancer and its clinical significance,HJ Tang,1,81.82%,81.82%
IGF-1 activates p21 to inhibit UV-induced cell death,IGF-1 activates p21 to inhibit UV-induced cell death,SA Murray,29,100.00%,100.00%
[Expression of different RASSF1 transcripts and its clinical significance in lung carcinoma].,Expression of different RASSF1 transcripts and its clinical significance in lung carcinoma,J He,1,83.33%,83.33%
The prolyl isomerase Pin1 is a regulator of p53 in genotoxic response,The prolyl isomerase Pin1 is a regulator of p53 in genotoxic response,SA Murray T Uchida G Wulf,400,100.00%,100.00%
IGF-1 induces Pin1 expression in promoting cell cycle S-phase entry.,IGF‐1 induces Pin1 expression in promoting cell cycle S‐phase entry,,88,70.00%,70.00%
D.M.p300/MDM2 complexes participate in MDM2-mediated p53 degradation,p300/MDM2 complexes participate in MDM2-mediated p53 degradation,,458,85.71%,85.71%
D. M.Regulation of the retinoblastoma protein-related protein p107 by G1 cyclin-associated kinases,Regulation of the retinoblastoma protein-related protein p107 by G1 cyclin-associated kinases,D Ginsberg,122,83.33%,90.91%
Interaction between the retinoblastoma protein and the oncoprotein MDM2,Interaction between the retinoblastoma protein and the oncoprotein MDM2,,660,100.00%,100.00%
Central Role of E3 Ubiquitin Ligase MG53 in Insulin Resistance and Metabolic Disorders,Central role of E3 ubiquitin ligase MG53 in insulin resistance and metabolic disorders,R Song Y Zhang,107,46.15%,46.15%
"mTOR: Good, Bad, or Ugly?","mTOR: good, bad, or ugly?",,6,40.00%,40.00%
Recombinant MG53 Protein Modulates Therapeutic Cell Membrane Repair in Treatment of Muscular Dystrophy,Recombinant MG53 protein modulates therapeutic cell membrane repair in treatment of muscular dystrophy,P Lin,74,30.77%,30.77%
MG53 Participates in Ischemic Postconditioning through the RISK Signaling Pathway,MG53 participates in ischaemic postconditioning through the RISK signalling pathway,R Song,47,50.00%,50.00%
Role of Mitofusin-2 in Cardiovascular Oxidative Stress,Mitofusin-2 is a major determinant of oxidative stress-mediated heart muscle cell apoptosis,C Chen,140,28.57%,16.67%
b2-AR Agonists in Treatment of Chronic Heart Failure: Long Path to Translation,β 2 AR agonists in treatment of chronic heart failure: long path to translation,I Ahmet,42,25.00%,21.43%
Kinase Activity-Independent Anchoring Function of Protein Kinase Cd,Kinase activity-independent anchoring function of protein kinase C-δ. Focus on “Protein kinase C-δ regulates the subcellular localization of Shc in H 2 O 2 …,,0,37.50%,12.50%
Cardioprotection of ischemia/reperfusion injury by cholesterol-dependent MG53-mediated membrane repair,Cardioprotection of ischemia/reperfusion injury by cholesterol-dependent MG53-mediated membrane repair,W Xie Y Zhang P Lin P Han,87,100.00%,100.00%
MG53 constitutes a primary determinant of cardiac ischemic preconditioning,MG53 constitutes a primary determinant of cardiac ischemic preconditioning,Y Zhang,103,100.00%,100.00%
The effect of stereochemistry on the thermodynamic characteristics of the binding of fenoterol stereoisomers to the beta(2)-adrenoceptor,The effect of stereochemistry on the thermodynamic characteristics of the binding of fenoterol stereoisomers to the β 2-adrenoceptor,L Toll,22,94.12%,88.89%
Comparative Molecular FieldAnalysis of Fenoterol Derivatives: A Platform Towards Highly Selective and Effective beta2-Adrenergic Receptor Agonists,Comparative molecular field analysis of fenoterol derivatives: a platform towards highly selective and effective β 2-adrenergic receptor agonists,L Toll,39,18.75%,16.67%
Receptor Interacting Protein 3 Suppresses Vascular Smooth Muscle Cell Growth by Inhibition of PI3K-Akt Axis,Receptor interacting protein 3 suppresses vascular smooth muscle cell growth by inhibition of the phosphoinositide 3-kinase-Akt axis,,21,26.67%,23.53%
Deregulation of RGS2 in Cardiovascular Diseases,Deregulation of RGS2 in cardiovascular diseases,S Tsang W Zhu,37,66.67%,66.67%
Infarction Induced Myocardial Apoptosis and ARC Activation,Infarction induced myocardial apoptosis and ARC activation,,14,42.86%,42.86%
Cardioprotection by CaMKII-δB is mediated by phosphorylation of HSF1 and subsequent expression of inducible HSP70,Cardioprotection by CaMKII-δB is mediated by phosphorylation of heat shock factor 1 and subsequent expression of inducible heat shock protein 70,Y Zhang H Cheng W Zhu,87,86.67%,61.90%
Infarction Induced Myocardial Apoptosis and ARC Activation,Infarction induced myocardial apoptosis and ARC activation,,14,42.86%,42.86%
AMPK and TNF-a at the Crossroad of Cell Survival and Death in Ischemic Heart,AMPK and TNF-α at the crossroad of cell survival and death in ischaemic heart,W Zhu,8,50.00%,50.00%
Mechanisms of Enhanced Beta-adrenergic Reserve From Cardiac Resynchronization Therapy,Mechanisms of enhanced β-adrenergic reserve from cardiac resynchronization therapy,,98,22.22%,22.22%
"Design, generation, and testing of mammalian expression modules that tag membrane proteins","Design, generation, and testing of mammalian expression modules that tag membrane proteins",,11,100.00%,100.00%
Activation of (Na++K+)-ATPase Modulates Cardiac L-Type Ca2+ Channel Function,Activation of (Na++ K+)-ATPase modulates cardiac L-type Ca2+ channel function,W Zhu V Gerzanich,21,33.33%,30.00%
Stereochemistry of an agonist determines coupling preference of beta2-adrenoceptor to different G proteins in cardiomyocytes,Stereochemistry of an agonist determines coupling preference of β2-adrenoceptor to different G proteins in cardiomyocytes,W Zhu,85,93.33%,93.33%
Cardioprotective and survival benefits of long-term combined therapy with β2AR Agonist and β1AR Blocker in dilated cardiomyopathy post-myocardial infarction,Cardioprotective and survival benefits of long-term combined therapy with β2 adrenoreceptor (AR) agonist and β1 AR blocker in dilated cardiomyopathy …,I Ahmet W Zhu C Morrell,67,63.16%,60.00%
Mitofusin-2 is a major determinant of oxidative stress-mediated heart muscle cell apoptosis,Mitofusin-2 is a major determinant of oxidative stress-mediated heart muscle cell apoptosis,C Chen,140,100.00%,100.00%
Comparative Molecular Field Analysis (CoMFA) of the Binding of the Stereoisomers of Fenoterol and Fenoterol Derivatives to the beta2 Adrenergic Receptor,Comparative molecular field analysis of the binding of the stereoisomers of fenoterol and fenoterol derivatives to the β2 adrenergic receptor,,64,42.86%,45.00%
Activation of CaMKIIdc is a common intermediate of diverse death stimuli-induced heart muscle cell apoptosis,Activation of CaMKIIδC is a common intermediate of diverse death stimuli-induced heart muscle cell apoptosis,W Zhu,110,93.33%,93.33%
High basal protein kinase A-dependent phosphorylation drives rhythmic internal Ca2+ store oscillations and spontaneous beating of cardiac pacemaker cells,High basal protein kinase A–dependent phosphorylation drives rhythmic internal Ca2+ store oscillations and spontaneous beating of cardiac pacemaker cells,W Zhu,209,94.74%,94.74%
Calmodulin Kinase II inhibition protects against myocardial apoptosis in vivo by phospholamban-dependent and –independent mechanisms,Calmodulin kinase II inhibition protects against myocardial cell apoptosis in vivo,WZ Zhu,120,60.00%,81.82%
"Enantioselective separation and online affinity chromatographic characterization of R,R- and S,S-fenoterol.","Enantioselective separation and online affinity chromatographic characterization of R, R‐and S, S‐fenoterol",,26,72.73%,75.00%
Subtype-specific alpha1- and beta-adrenoceptor signaling in the heart,Myocyte adrenoceptor signaling pathways,Y Xiang,203,12.50%,25.00%
"The enigma of cardiac beta2-adrenergic Gi signaling in the heart: the good, the bad, and the ugly",GRK2 blockade with βARKct is essential for cardiac β 2-adrenergic receptor signaling towards increased contractility,,40,11.76%,13.33%
Emerging concepts and therapeutic implications of beta-adrenergic receptor subtype signaling,Emerging concepts and therapeutic implications of β-adrenergic receptor subtype signaling,W Zhu,93,90.00%,90.00%
Dimerization of beta1- and beta2-adrenergic receptor subtypes optimizes beta-adrenergic modulation of cardiac contractility,Receptor heteromerization and drug discovery,,106,7.69%,20.00%
Caffeine induced Ca2+ release and capacitative Ca2+ entry in human embryonic kidney (HEK293) cells,Caffeine induced Ca 2+ release and capacitative Ca 2+ entry in human embryonic kidney (HEK293) cells,,20,85.71%,75.00%
ASF/SF2-regulated postnatal reprogramming of CaMKIId alternative splicing modulates excitation-contraction coupling in cardiac muscle,ASF/SF2-regulated CaMKIIδ alternative splicing temporally reprograms excitation-contraction coupling in cardiac muscle,,260,61.54%,72.73%
Intracellular acidosis-induced p38 MAPK activation and its pathophysiological relevance in cardiomyocyte ischemia,Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility.,,15,50.00%,50.00%
Sustained b1-adrenergic stimulation modulates cardiac contractility by Ca2+/calmodulin kinase signaling pathway,Sustained β1-adrenergic stimulation modulates cardiac contractility by Ca2+/calmodulin kinase signaling pathway,W Zhu,203,90.91%,90.91%
Phosphatidylinositol 3-kinase offsets camp-mediated positive inotropic effect via inhibiting Ca2+ influx in cardiomyocytes,Phosphatidylinositol 3-kinase offsets cAMP-mediated positive inotropic effect via inhibiting Ca2+ influx in cardiomyocytes,V Maltsev,72,92.31%,92.31%
G-protein-coupled receptor chromatographic stationary phases ii: ligand-induced conformational mobility on an immobilized beta2-adrenergic receptor,G-Protein-coupled receptor chromatographic stationary phases. 2. Ligand-induced conformational mobility in an immobilized β2-adrenergic receptor,,48,57.14%,57.14%
Different regulation of erk1/2 activation by beta-adrenergic receptor subtypes in adult mouse cardiomyocytes,Different regulation of ERK1/2 activation by β-adrenergic receptor subtypes in adult mouse cardiomyocytes,,16,84.62%,84.62%
Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility,Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility.,,15,91.67%,91.67%
Dysregulation of a novel hyperplasia suppressor gene triggers vascular proliferative disorders,[CITATION][C] Dysregulation of a novel hyperplasia suppressor gene triggers vascular proliferative disorders,,0,100.00%,91.67%
beta-adrenergic receptor-opioid peptide receptor cross-talk: cardiovascular regulation and adaptation in health and disease,[CITATION][C] β-Adrenergic receptor-opioid peptide receptor cross-talk: cardiovascular regulation and adaptation in health and disease,,1,92.31%,85.71%
Subtype-specific beta-adrenergic signaling pathways and their clinical implications,Subtype-specific β-adrenoceptor signaling pathways in the heart and their potential clinical implications,W Zhu,153,87.50%,58.33%
Protecting the myocardium: A role for the beta2-Adrenergic receptor in the heart,Protecting the myocardium: a role for the β2 adrenergic receptor in the heart,W Zhu,98,83.33%,76.92%
Dilated cardiomyopathy caused by tissue-specific ablation of SC35 in the heart,Dilated cardiomyopathy caused by tissue‐specific ablation of SC35 in the heart,,105,90.91%,90.91%
Na+/Ca2+ Exchange Linking beta2-Adrenergic Gi Signaling to Heart Failure: Associated Defect of Adrenergic Contractile Support,Na+/Ca2+ exchange linking β2-adrenergic Gi signaling to heart failure: associated defect of adrenergic contractile support,,16,26.67%,26.67%
Phosphoproteome Analysis of Cardiomyocytes Subjected to beta-Adrenergic Stimulation: Identification and Characterization of a Novel Heat Shock Protein,Phosphoproteome analysis of cardiomyocytes subjected to β-adrenergic stimulation,GC Fan,71,17.65%,50.00%
Is china ready to go mainstream in molecular medicine,[CITATION][C] Is China ready to go mainstream in molecular medicine?,,1,77.78%,70.00%
Calmodulin mediates BDNF cell survival signaling upstream of Akt kinase in embryonic neocortical neurons,Calmodulin mediates brain-derived neurotrophic factor cell survival signaling upstream of Akt kinase in embryonic neocortical neurons,,90,92.86%,81.25%
Linkage of beta1-adrenergic stimulation to apoptotic heart cell death through protein kinase A-independent activation of Ca2+/Calmodulin Kinase II,Linkage of β1-adrenergic stimulation to apoptotic heart cell death through protein kinase A–independent activation of Ca2+/calmodulin kinase II,WZ Zhu,408,83.33%,77.78%
calmodulin regulation of excitation-contraction coupling in cardiac myocytes,Calmodulin regulation of excitation-contraction coupling in cardiac myocytes,LS Song WZ Zhu,30,87.50%,87.50%
The third intracellular loop and the carboxyl terminus of beta2-adrenergic receptor confer the receptor spontaneous activity,The third intracellular loop and the carboxyl terminus of β2-adrenergic receptor confer spontaneous activity of the receptor,Y Xiang,24,100.00%,88.24%
Enhanced Gi signaling mediates the diminution of beta2-adrenergic contractile response in failing spontaneous hypertensive rat heart,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,37.50%,27.78%
Ca2+ signaling in hypertrophic transgenic cardiac myocytes overexpressing the α1 subunit of L-type Ca2+ channel,"Calcium signalling: dynamics, homeostasis and remodelling",MD Bootman,4120,0.00%,0.00%
p38 mitogen activated protein kinase mediates negative inotropic effect in cardiac myocytes,p38 Mitogen-activated protein kinase mediates a negative inotropic effect in cardiac myocytes,,192,83.33%,83.33%
Dual site phospholamban phosphorylation and its physiological relevance in the heart,Dual site phospholamban phosphorylation and its physiological relevance in the heart,,95,100.00%,100.00%
Phosphatidylinositol 3-kinase functionally compartmentalizes the concurrent Gs signaling during beta2-adrenergic stimulation,Phosphatidylinositol 3-kinase functionally compartmentalizes the concurrent Gs signaling during β2-adrenergic stimulation,PH Wang,123,90.91%,90.91%
Comparative Molecular Field Analysis (CoMFA) of the Binding of the Stereoisomers of Fenoterol and Fenoterol Derivatives to the beta2 Adrenergic Receptor,Comparative molecular field analysis of the binding of the stereoisomers of fenoterol and fenoterol derivatives to the β2 adrenergic receptor,,64,42.86%,45.00%
Activation of CaMKIIdc is a common intermediate of diverse death stimuli-induced heart muscle cell apoptosis,Activation of CaMKIIδC is a common intermediate of diverse death stimuli-induced heart muscle cell apoptosis,W Zhu,110,93.33%,93.33%
High basal protein kinase A-dependent phosphorylation drives rhythmic internal Ca2+ store oscillations and spontaneous beating of cardiac pacemaker cells,High basal protein kinase A–dependent phosphorylation drives rhythmic internal Ca2+ store oscillations and spontaneous beating of cardiac pacemaker cells,W Zhu,209,94.74%,94.74%
Calmodulin Kinase II inhibition protects against myocardial apoptosis in vivo by phospholamban-dependent and –independent mechanisms,Calmodulin kinase II inhibition protects against myocardial cell apoptosis in vivo,WZ Zhu,120,60.00%,81.82%
"Enantioselective separation and online affinity chromatographic characterization of R,R- and S,S-fenoterol.","Enantioselective separation and online affinity chromatographic characterization of R, R‐and S, S‐fenoterol",,26,72.73%,75.00%
Subtype-specific alpha1- and beta-adrenoceptor signaling in the heart,Myocyte adrenoceptor signaling pathways,Y Xiang,203,12.50%,25.00%
"The enigma of cardiac beta2-adrenergic Gi signaling in the heart: the good, the bad, and the ugly",GRK2 blockade with βARKct is essential for cardiac β 2-adrenergic receptor signaling towards increased contractility,,40,11.76%,13.33%
Emerging concepts and therapeutic implications of beta-adrenergic receptor subtype signaling,Emerging concepts and therapeutic implications of β-adrenergic receptor subtype signaling,W Zhu,93,90.00%,90.00%
Dimerization of beta1- and beta2-adrenergic receptor subtypes optimizes beta-adrenergic modulation of cardiac contractility,Receptor heteromerization and drug discovery,,106,7.69%,20.00%
Caffeine induced Ca2+ release and capacitative Ca2+ entry in human embryonic kidney (HEK293) cells,Caffeine induced Ca 2+ release and capacitative Ca 2+ entry in human embryonic kidney (HEK293) cells,,20,85.71%,75.00%
ASF/SF2-regulated postnatal reprogramming of CaMKIId alternative splicing modulates excitation-contraction coupling in cardiac muscle,ASF/SF2-regulated CaMKIIδ alternative splicing temporally reprograms excitation-contraction coupling in cardiac muscle,,260,61.54%,72.73%
Intracellular acidosis-induced p38 MAPK activation and its pathophysiological relevance in cardiomyocyte ischemia,Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility.,,15,50.00%,50.00%
Sustained b1-adrenergic stimulation modulates cardiac contractility by Ca2+/calmodulin kinase signaling pathway,Sustained β1-adrenergic stimulation modulates cardiac contractility by Ca2+/calmodulin kinase signaling pathway,W Zhu,203,90.91%,90.91%
Phosphatidylinositol 3-kinase offsets camp-mediated positive inotropic effect via inhibiting Ca2+ influx in cardiomyocytes,Phosphatidylinositol 3-kinase offsets cAMP-mediated positive inotropic effect via inhibiting Ca2+ influx in cardiomyocytes,V Maltsev,72,92.31%,92.31%
G-protein-coupled receptor chromatographic stationary phases ii: ligand-induced conformational mobility on an immobilized beta2-adrenergic receptor,G-Protein-coupled receptor chromatographic stationary phases. 2. Ligand-induced conformational mobility in an immobilized β2-adrenergic receptor,,48,57.14%,57.14%
Different regulation of erk1/2 activation by beta-adrenergic receptor subtypes in adult mouse cardiomyocytes,Different regulation of ERK1/2 activation by β-adrenergic receptor subtypes in adult mouse cardiomyocytes,,16,84.62%,84.62%
Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility,Acidosis-induced p38 MAPK activation and its implication in regulation of cardiac contractility.,,15,91.67%,91.67%
Dysregulation of a novel hyperplasia suppressor gene triggers vascular proliferative disorders,[CITATION][C] Dysregulation of a novel hyperplasia suppressor gene triggers vascular proliferative disorders,,0,100.00%,91.67%
beta-adrenergic receptor-opioid peptide receptor cross-talk: cardiovascular regulation and adaptation in health and disease,[CITATION][C] β-Adrenergic receptor-opioid peptide receptor cross-talk: cardiovascular regulation and adaptation in health and disease,,1,92.31%,85.71%
Subtype-specific beta-adrenergic signaling pathways and their clinical implications,Subtype-specific β-adrenoceptor signaling pathways in the heart and their potential clinical implications,W Zhu,153,87.50%,58.33%
Protecting the myocardium: A role for the beta2-Adrenergic receptor in the heart,Protecting the myocardium: a role for the β2 adrenergic receptor in the heart,W Zhu,98,83.33%,76.92%
Dilated cardiomyopathy caused by tissue-specific ablation of SC35 in the heart,Dilated cardiomyopathy caused by tissue‐specific ablation of SC35 in the heart,,105,90.91%,90.91%
Na+/Ca2+ Exchange Linking beta2-Adrenergic Gi Signaling to Heart Failure: Associated Defect of Adrenergic Contractile Support,Na+/Ca2+ exchange linking β2-adrenergic Gi signaling to heart failure: associated defect of adrenergic contractile support,,16,26.67%,26.67%
Phosphoproteome Analysis of Cardiomyocytes Subjected to beta-Adrenergic Stimulation: Identification and Characterization of a Novel Heat Shock Protein,Phosphoproteome analysis of cardiomyocytes subjected to β-adrenergic stimulation,GC Fan,71,17.65%,50.00%
Is china ready to go mainstream in molecular medicine,[CITATION][C] Is China ready to go mainstream in molecular medicine?,,1,77.78%,70.00%
Calmodulin mediates BDNF cell survival signaling upstream of Akt kinase in embryonic neocortical neurons,Calmodulin mediates brain-derived neurotrophic factor cell survival signaling upstream of Akt kinase in embryonic neocortical neurons,,90,92.86%,81.25%
Linkage of beta1-adrenergic stimulation to apoptotic heart cell death through protein kinase A-independent activation of Ca2+/Calmodulin Kinase II,Linkage of β1-adrenergic stimulation to apoptotic heart cell death through protein kinase A–independent activation of Ca2+/calmodulin kinase II,WZ Zhu,408,83.33%,77.78%
calmodulin regulation of excitation-contraction coupling in cardiac myocytes,Calmodulin regulation of excitation-contraction coupling in cardiac myocytes,LS Song WZ Zhu,30,87.50%,87.50%
The third intracellular loop and the carboxyl terminus of beta2-adrenergic receptor confer the receptor spontaneous activity,The third intracellular loop and the carboxyl terminus of β2-adrenergic receptor confer spontaneous activity of the receptor,Y Xiang,24,100.00%,88.24%
Enhanced Gi signaling mediates the diminution of beta2-adrenergic contractile response in failing spontaneous hypertensive rat heart,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,37.50%,27.78%
Ca2+ signaling in hypertrophic transgenic cardiac myocytes overexpressing the α1 subunit of L-type Ca2+ channel,"Calcium signalling: dynamics, homeostasis and remodelling",MD Bootman,4120,0.00%,0.00%
p38 mitogen activated protein kinase mediates negative inotropic effect in cardiac myocytes,p38 Mitogen-activated protein kinase mediates a negative inotropic effect in cardiac myocytes,,192,83.33%,83.33%
Dual site phospholamban phosphorylation and its physiological relevance in the heart,Dual site phospholamban phosphorylation and its physiological relevance in the heart,,95,100.00%,100.00%
Phosphatidylinositol 3-kinase functionally compartmentalizes the concurrent Gs signaling during beta2-adrenergic stimulation,Phosphatidylinositol 3-kinase functionally compartmentalizes the concurrent Gs signaling during β2-adrenergic stimulation,PH Wang,123,90.91%,90.91%
beta1/beta2-adrenergic receptor heterodimerization regulates beta2-adrenergic receptor internalization and ERK signaling efficacy,Heterodimerization of g protein-coupled receptors: specificity and functional significance,RA Hall,363,9.09%,11.11%
Dual modulation of cardiac cell survival and cell death by beta2-adrenergic signaling in adult mouse heart cells,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,29.41%,27.78%
beta-adrenergic stimulation synchronizes intracellular Ca2+ release during excitation-contraction coupling in cardiac myocytes,β-Adrenergic stimulation synchronizes intracellular Ca2+ release during excitation-contraction coupling in cardiac myocytes,LS Song,145,91.67%,91.67%
The in vivo role of p38 MAP kinases in cardiac remodeling and restrictive cardiomyopathy,The in vivo role of p38 MAP kinases in cardiac remodeling and restrictive cardiomyopathy,,323,100.00%,100.00%
β-adrenergic signaling in the heart: Dual coupling of the β2-adrenergic receptor to Gs and Gi proteins,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,68.75%,61.11%
Inhibition of spontaneous beta2-adrenergic activation rescues beta1-adrenergic contractile response in cardiomyocytes overexpressing beta2-adrenoceptor,Network integration of the adrenergic system in cardiac hypertrophy,L Barki-Harrington C Perrino,106,15.38%,22.22%
Frequency-encoding Thr17 phospholamban phosphorylation is independent of Ser16 phosphorylation in cardiac myocytes,Frequency-encoding Thr17 phospholamban phosphorylation is independent of Ser16 phosphorylation in cardiac myocytes,W Zhu,140,100.00%,100.00%
High efficient adenovirus-directed gene transfer in cultured adult mouse ventricular myocytes,Culture and adenoviral infection of adult mouse cardiac myocytes: methods for cellular genetic physiology,WZ Zhu,304,18.18%,14.29%
Sinoatrial node pacemaker activity requires Ca2+/calmodulin-dependent protein kinase II activation,Sinoatrial node pacemaker activity requires Ca2+/calmodulin-dependent protein kinase II activation,,136,100.00%,100.00%
Cell logic for dual coupling of a single class of receptors to Gs and Gi proteins,Cell logic for dual coupling of a single class of receptors to Gs and Gi proteins,,40,100.00%,100.00%
Gi-dependent localization of beta2-adrenergic receptro signaling to L-type Ca2+ channels,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,40.00%,22.22%
beta2-adrenergic receptor delivers an anti-apoptotic signal to cardiac myocytes through Gi-dependent signaling pathways,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,30.77%,22.22%
beta2-adrenergic receptor-induced p38 MAPK activation is mediated by PKA rather than by Gi or Gb in adult mouse cardiomyocytes,Beta-adrenergic signaling in the heart: dual coupling of the beta2-adrenergic receptor to G (s) and G (i) proteins,,248,10.53%,11.11%
Dynamic evaluation of mesh resolution and its application in hybrid LES/RANS methods,Dynamic Evaluation of Mesh Resolution and Its Application in Hybrid LES/RANS Methods,H Xiao J Wang P Jenny,4,41.67%,41.67%
Coupling of solvers with non-conforming computational domains in a dual-mesh hybrid LES/RANS framework,Coupling of solvers with non-conforming computational domains in a dual-mesh hybrid LES/RANS framework,H Xiao Y Sakai P Jenny,3,100.00%,100.00%
A consistent dual-mesh framework for hybrid LES/RANS modeling,A consistent dual-mesh framework for hybrid LES/RANS modeling,H Xiao P Jenny,29,100.00%,100.00%
Algorithms in a robust hybrid CFD–DEM solver for particle-laden flows,Algorithms in a robust hybrid CFD-DEM solver for particle-laden flows,H Xiao J Sun,32,90.00%,90.00%
Hyro-and morpho-dynamic modeling of breaking solitary waves over sand beach. Part I: Experimental Modeling,Hydro-and morpho-dynamic modeling of breaking solitary waves over a fine sand beach. Part I: Experimental study,YL Young H Xiao,43,85.71%,75.00%
Hyro-and morpho-dynamic modeling of breaking solitary waves over sand beach. Part II: Numerical Simulation,Hydro-and morpho-dynamic modeling of breaking solitary waves over a fine sand beach. Part I: Experimental study,YL Young H Xiao,43,71.43%,62.50%
Scaling of dynamic wave-soil interaction experiments,Experiments and theory of wave-soil interactions,,38,33.33%,33.33%
Time scale analysis in unsaturated porous media under external wave loads,Time‐scale analysis in unsaturated porous media under external wave loads,H Xiao YL Young JH Prévost,4,81.82%,90.00%
Parametric study of breaking solitary wave induced liquefaction of coastal sandy slopes,Parametric study of breaking solitary wave induced liquefaction of coastal sandyslopes,H Xiao YL Young JH Prévost,12,83.33%,90.91%
Numerical study of segregation using multi-scale models,Numerical study of segregation using multiscale models,J Sun H Xiao,12,85.71%,85.71%
Liquefaction Potential of Coastal Slopes Induced by Solitary Waves,Liquefaction potential of coastal slopes induced by solitary waves,YL Young JA White H Xiao,30,33.33%,33.33%
Optically-Tunable Magneto-Capacitance Phenomenon in Organic Semiconducting Materials Developed by Electrical Polarization of Intermolecular Charge-Transfer States,Optically Tunable Magneto‐Capacitance Phenomenon in Organic Semiconducting Materials Developed by Electrical Polarization of Intermolecular Charge‐Transfer …,M Li,14,73.33%,73.33%
Changing Line-Shape in Magnetic Field Effects through Interactions between Excited States in Organic Semiconducting Materials,The SIESTA method for ab initio order-N materials simulation,JM Soler JD Gale A García,8350,0.00%,0.00%
Triplet-Charge Annihilation versus Triplet-Triplet Annihilation in Organic Semiconductors,Triplet–charge annihilation versus triplet–triplet annihilation in organic semiconductors,L Yan M Li,25,25.00%,25.00%
Magnetocurrent of Charge-Polarizable C60-Diphenylaminofluorene Monoadduct-Derived Magnetic Nanocomposites,Magnetocurrent of Charge-Polarizable C60-Diphenylaminofluorene Monoadduct-Derived Magnetic Nanocomposites,L Yan M Wang,8,100.00%,100.00%
High Seebeck Effects from Hybrid Metal/Polymer/Metal Thin-Film Devices,High Seebeck Effects from Hybrid Metal/Polymer/Metal Thin‐Film Devices,L Yan H Wang,27,87.50%,87.50%
"Intra-Molecular “Donor-Acceptor” Interaction Effects on Charge Dissociation, Charge Transport, and Charge Collection in Bulk-Heterojunction Organic Solar Cells","Intra‐Molecular Donor–Acceptor Interaction Effects on Charge Dissociation, Charge Transport, and Charge Collection in Bulk‐Heterojunction Organic Solar Cells",L Yu,46,82.35%,82.35%
Giant Magnetic Field Effects on Electroluminescence in Electrochemical Cells,Giant magnetic field effects on electroluminescence in electrochemical cells,L Yan I Ivanov,16,33.33%,33.33%
Magneto-optical investigation on formation and dissociation of inter-molecular charge-transfer complexes at donor-acceptor interfaces in organic solar cells,Spin-dependent exciton formation rates in π-conjugated materials,,131,11.76%,28.57%
Photovoltaic Processes of Singlet and Triplet Excited States in Organic Solar Cells,Photovoltaic processes of singlet and triplet excited states in organic solar cells,,79,33.33%,33.33%
Tuning Magnetoresistance between Positive and Negative Values in Organic Semiconductors,Tuning magnetoresistance between positive and negative values in organic semiconductors,,332,40.00%,40.00%
Tuning Magnetoresistance and Magnetic Field-Dependent Electroluminescence through Mixing Strong-Spin-Orbital-Coupling Molecule and Weak-Spin-Orbital-Coupling Polymer,Tuning magnetoresistance and magnetic-field-dependent electroluminescence through mixing a strong-spin-orbital-coupling molecule and a weak-spin-orbital …,,109,30.77%,30.77%
Spin Injection from Cobalt Nanodot Electrode in conjugated Polymers,The first decade of organic spintronics research,,69,0.00%,0.00%
Metal Electrode Effects on Spin-Orbital Coupling and Magnetoresistance in Organic Semiconducting Materials,Metal electrode effects on spin-orbital coupling and magnetoresistance in organic semiconductor devices,,53,33.33%,33.33%
Dissociation Processes of Singlet and Triplet Excitons in Organic Photovoltaic Cells,Dissociation processes of singlet and triplet excitons in organic photovoltaic cells,,37,36.36%,36.36%
